,Feci_LPS_CTRL_934_23022024,Feci_LPS_CTRL_935_23022024,Feci_LPS_CTRL_938_26022024,Feci_LPS_CTRL_940_26022024,Feci_LPS_CTRL_943_26022024,Feci_LPS-CTRL_941REP_01032024
4-Hydroxybutanoic acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
4-Hydroxyphenyllactic acid,3.2677213517781227e-06,2.288712591576638e-09,2.6110884570729686e-05,1.1823612346456872e-06,8.355607329454319e-07,3.698001652892968e-07
4-Methoxyphenol,2.541312102594124e-05,2.532296107365242e-05,2.735531444564817e-05,2.8667740313560866e-05,2.4323677545534385e-05,2.4323677545534385e-05
4-Methyl-5-thiazoleethanol,1.3139300277277378e-05,2.3773058557190056e-05,1.2016705068176967e-05,1.7390712391228288e-05,1.4327388252791498e-05,1.3670646908920618e-05
4-Methylvaleric acid,2.553707235007485e-05,2.5077891059761747e-05,8.392569043058912e-06,1.5023138006759788e-05,9.834354199581247e-06,2.144329071869341e-05
"4-Nonanone, 2,6,8-trimethyl",3.317049166967187e-09,2.288712591576638e-09,3.375311155399184e-05,2.024810516425435e-05,1.917958704543705e-08,3.698001652892968e-07
4-Pyridinol,1.954234271801049e-05,9.268868110722537e-06,8.280633464815508e-06,2.735531444564817e-05,1.514970413027093e-05,2.360173208743259e-05
4-Pyrimidinamine,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,4.143650717333138e-05
4-hydroxycyclohexylacetate,3.863825895123967e-07,2.288712591576638e-09,5.508355273131858e-06,5.525347507631698e-05,1.917958704543705e-08,3.698001652892968e-07
"5,10-Diethoxy-2,3,7,8-tetrahydro-1H,6H-dipyrrolo[1,2-a:1',2'-d]pyrazine",3.317049166967187e-09,2.288712591576638e-09,1.0643475286929393e-05,1.5018670435401597e-09,2.3783645125629813e-06,3.698001652892968e-07
"5,8,11-Eicosatrienoic acid",1.536592651890115e-05,2.1143605220811348e-05,0.0,3.50469864040057e-05,3.0624966559567074e-05,9.834354199581247e-06
5alpha-Ergost-8(14)-ene,3.317049166967187e-09,0.0004725347637260312,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
5-Amino-1-pentanol,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
5-Aminovaleric acid,6.7727348997407e-06,2.288712591576638e-09,1.1823612346456872e-06,1.5018670435401597e-09,4.463384885273438e-06,2.6787585419746015e-05
"5-Androsten-17alpha-methyl-3beta,17beta-diol",3.317049166967187e-09,1.4327388252791498e-05,0.0,1.5018670435401597e-09,6.034563130235955e-05,1.2621640375920455e-05
5-Henicosylresorcinol,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
5-Hydroxy-2-methylpyridine,0.00019189117591191356,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
5-Hydroxymethyl-2-furoic acid,3.317049166967187e-09,2.288712591576638e-09,3.0457762562984163e-05,2.8126265711123824e-05,1.917958704543705e-08,3.698001652892968e-07
5-Methyluridine,3.317049166967187e-09,2.288712591576638e-09,5.393937924956675e-06,5.3835171916323376e-05,2.144398281291842e-06,3.698001652892968e-07
5-Oxohexanoic Acid,7.551080677310789e-05,2.288712591576638e-09,3.467651619542703e-05,1.5018670435401597e-09,1.8954218216158324e-05,5.9854742218891424e-06
5-hydroxy-n-valeric acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
6-Hydroxyhexanoic acid,3.317049166967187e-09,4.906670434602368e-05,0.0,2.2395648107797876e-05,2.7137523246680706e-05,3.698001652892968e-07
"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",1.6855473654435217e-05,1.603110529073754e-05,1.7390712391228288e-05,1.5770150150179934e-05,1.7005674772614e-05,4.328965968016459e-05
8-Hydroxy-5-(hydroxymethyl)quinoline,9.746818746062618e-07,9.075507640204865e-06,7.551080677310789e-05,4.149837448191821e-06,1.917958704543705e-08,7.31820055108666e-06
8-Hydroxyquinoline-2-carbaldehyde,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"9,12-Octadecadienoic acid",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
9H-Purin-6-ol,5.401630854028378e-07,1.9383192840030995e-06,2.144398281291842e-06,3.0624966559567074e-05,2.4840393181237777e-06,3.698001652892968e-07
9-Octadecen-1-ol,1.4421832935193043e-05,2.4323677545534385e-05,1.676694893462815e-05,3.863825895123967e-07,6.684098568706045e-06,3.698001652892968e-07
9-Octadecenamide,2.2395648107797876e-05,3.534753816188769e-06,2.5522233466767726e-06,1.5018670435401597e-09,2.7857133842763493e-06,0.00019189117591191356
9-Octadecenenitrile,0.0001538954015144338,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
9-Octadecenoic acid,1.2688530071147199e-05,2.553707235007485e-05,4.307102512362269e-05,1.3777551865963965e-05,1.838340221627417e-05,1.954234271801049e-05
"Acetamide, N-(2-butyl)-N-methyl-",2.6110884570729686e-05,1.6450359872157637e-05,1.8954218216158324e-05,8.280633464815508e-06,2.00157898413748e-05,3.0624966559567074e-05
"acetic acid, [(2-hydrloxyethyl)thio]-",0.00013610394511230807,0.00019189117591191356,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"Acetin, 1,3-dihydroxy",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,0.0002482324990964281,3.698001652892968e-07
Acetoacetic acid,1.717122286859092e-05,2.288712591576638e-09,4.906670434602368e-05,2.283836865138379e-05,4.307102512362269e-05,3.698001652892968e-07
Aconitic acid,3.317049166967187e-09,2.288712591576638e-09,2.173879122112292e-05,1.5018670435401597e-09,1.7967467463707408e-05,5.78660675571529e-06
alpha-D-(+)-Talopyranose,2.1643036174431583e-05,4.7459063005086846e-05,4.1170243598062004e-05,2.6261233016509606e-05,4.2360097759022124e-05,1.2072245970380529e-05
"alpha-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-hydroxy-, cyclic methylboronate",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,6.854197017085001e-05
alpha-D-Mannopyranose,1.9383192840030995e-06,2.288712591576638e-09,4.0908209672600844e-05,1.5018670435401597e-09,6.7727348997407e-06,3.698001652892968e-07
alpha-D-Xylopyranose,3.317049166967187e-09,5.650563956966111e-05,8.784195921187054e-06,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
alpha-Ketoisovaleric acid,3.317049166967187e-09,2.288712591576638e-09,3.1952970029292075e-05,2.7137523246680706e-05,8.736115967055024e-06,5.3561814584747214e-05
alpha-L-(-)-Fucopyranose,2.763049861118689e-05,2.288712591576638e-09,4.477890534636052e-05,1.805522489530305e-05,2.8126265711123824e-05,3.698001652892968e-07
"alpha-L-Galactofuranose, 6-deoxy-",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,9.268868110722537e-06
alpha-Linolenic acid,1.3393244608750065e-05,1.657876497583457e-05,0.0,2.931807560232721e-06,1.917958704543705e-08,3.698001652892968e-07
alpha-Tocopheryl acetate,3.317049166967187e-09,0.00010163574140595044,0.0,1.5018670435401597e-09,1.917958704543705e-08,7.83256658946541e-05
Anthranilic acid,3.5632149126457636e-05,2.735531444564817e-05,3.668528476095749e-05,2.1932952715233096e-05,3.536093243953963e-05,5.525347507631698e-05
Arabinitol,8.671316848159434e-05,6.602528415903965e-05,5.525347507631698e-05,5.729262896743729e-05,5.729262896743729e-05,1.4716248240761122e-05
"Arabinofuranose, 1,2,3,5-tetrakis",6.973314190749594e-06,2.4064840669503068e-05,2.1289514608228618e-05,2.553707235007485e-05,2.891541583068076e-05,6.684098568706045e-06
"Arabino-Hexonic acid, 2-deoxy-, gamma-lactone",2.41512614558997e-05,2.4535257256643036e-05,4.143650717333138e-05,1.3670646908920618e-05,4.714610217370404e-05,2.214010862712192e-05
Arabinose,3.317049166967187e-09,3.8445826984092434e-05,8.671316848159434e-05,1.4544582915854815e-06,5.3835171916323376e-05,3.698001652892968e-07
Arachidic acid,2.144329071869341e-05,1.954234271801049e-05,2.4944204315232952e-05,1.4716248240761122e-05,1.9511628227902818e-05,2.6590830101793257e-05
Azelaic acid,3.317049166967187e-09,3.12718259383932e-05,0.0,1.5018670435401597e-09,1.917958704543705e-08,6.228605896150257e-05
"Azetidine, 1-acetyl-2-methyl",2.466747331644314e-05,1.0732063138688449e-05,1.0732063138688449e-05,1.1630028902558375e-05,2.6443296428767492e-05,2.541312102594124e-05
Behenic acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"Benzaldehyde, 2,5-dimethoxy",2.4838934877711078e-05,8.913241763224507e-06,2.9528927461757194e-05,2.41512614558997e-05,3.50469864040057e-05,3.668528476095749e-05
Benzeneacetic acid,0.00021840933863851285,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester",3.50469864040057e-05,3.11542014918176e-05,2.9092428362042667e-05,1.5087445303643446e-05,1.9730405206250328e-05,3.12718259383932e-05
Benzoic Acid,1.2386128150036162e-05,1.2265130421583652e-05,2.00157898413748e-05,1.1917979989316106e-05,1.64960083791884e-05,5.2490809331963156e-05
beta-Alanine,1.1917979989316106e-05,2.288712591576638e-09,2.466747331644314e-05,5.908290250103023e-05,1.917958704543705e-08,3.698001652892968e-07
beta-Arabinopyranose,3.317049166967187e-09,2.288712591576638e-09,4.480577572291802e-08,1.5018670435401597e-09,8.608358890077261e-06,1.3084543348858826e-05
beta-D-(-)-Ribopyranose,1.1108658858579163e-05,1.805522489530305e-05,0.0,3.101308615054718e-05,1.917958704543705e-08,1.6855473654435217e-05
"beta-D-Galactopyranoside, methyl-, acetate",3.4018174026168576e-05,4.2360097759022124e-05,6.228605896150257e-05,3.467651619542703e-05,3.956451497396527e-05,4.463384885273438e-06
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",6.238935363090239e-06,7.697062205434122e-06,6.0356557680024845e-06,1.6450359872157637e-05,3.610404236469199e-05,2.83600203602203e-05
Butanedioic acid,9.075507640204865e-06,1.2549232521950219e-05,1.7005674772614e-05,4.662089489572254e-06,5.9854742218891424e-06,8.392569043058912e-06
"Butanoic acid, 3,4-dihydroxy-",3.317049166967187e-09,4.149837448191821e-06,0.0004725347637260312,1.5018670435401597e-09,1.917958704543705e-08,3.272055131890429e-05
Butyl Succinate,1.1009017472615811e-05,9.901359718928036e-06,7.486126882586817e-06,1.1009017472615811e-05,1.2128426444807097e-05,1.9511628227902818e-05
Cadaverine,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Caffeic acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Campesterol,4.906670434602368e-05,2.288712591576638e-09,8.736115967055024e-06,7.486126882586817e-06,3.4018174026168576e-05,1.8743380129594983e-05
Cholesterol,5.9854742218891424e-06,1.64960083791884e-05,1.2851666336797697e-06,3.3132118020880145e-06,3.916438176610061e-06,2.4944204315232952e-05
Cinnamic acid,3.317049166967187e-09,2.288712591576638e-09,0.0,4.400464789219103e-05,1.917958704543705e-08,3.698001652892968e-07
"cis,cis,cis-1-Isobutyl-2,5-dimethylcyclohexane",3.317049166967187e-09,7.439637344533094e-05,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"cis-4,5-Dihydroxy-o-dithiane",1.0643475286929393e-05,1.8277450190145645e-05,1.616923836971354e-05,1.5680182502759232e-05,1.8484160585226226e-05,1.4781676122417061e-05
Citric acid,2.0930048338659614e-05,2.288712591576638e-09,1.2386128150036162e-05,1.0643475286929393e-05,1.3139300277277378e-05,3.698001652892968e-07
Cyclo(L-prolyl-L-valine),4.714610217370404e-05,3.668528476095749e-05,1.717122286859092e-05,1.5308412125154441e-06,4.0908209672600844e-05,1.2549232521950219e-05
Cyclohexanecarboxylic acid,3.317049166967187e-09,2.288712591576638e-09,0.0,0.0002482324990964281,1.917958704543705e-08,3.698001652892968e-07
Cyclohexanemethanol,2.360173208743259e-05,2.214010862712192e-05,2.080604252632017e-05,1.536592651890115e-05,3.12718259383932e-05,1.805522489530305e-05
Cyclohexanol,2.105898820992524e-05,2.288712591576638e-09,1.3393244608750065e-05,2.4840393181237777e-06,3.921669419652718e-05,3.685888207214996e-05
"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl",3.7529811613004836e-05,3.0624966559567074e-05,2.144329071869341e-05,1.3139300277277378e-05,7.486126882586817e-06,4.400464789219103e-05
"Cyclopentanone, 2,4,4-trimethyl",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Cytosine,5.508355273131858e-06,6.238935363090239e-06,3.7529811613004836e-05,3.375311155399184e-05,9.980623081251986e-06,7.166386589034193e-06
D-(-)-Citramalic acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
D-(-)-Fructofuranose,8.027817364163943e-06,6.345107672537229e-06,1.6302789015847792e-05,0.00012470064241930977,3.3132118020880145e-06,9.486867271749878e-06
D-(-)-Fructopyranose,4.305619201828444e-06,7.166386589034193e-06,3.042036384063328e-06,1.6150478282736578e-06,5.627939780306909e-06,9.075507640204865e-06
D-(-)-Ribofuranose,5.158756138369421e-05,6.228605896150257e-05,1.777017388964433e-05,6.854197017085001e-05,0.0001118314390849081,2.6443296428767492e-05
D-(+)-Galactopyranose,5.729262896743729e-05,9.176438227712911e-05,0.0001118314390849081,4.5596482094246104e-05,1.917958704543705e-08,1.616923836971354e-05
D-(+)-Glucosamine,3.042036384063328e-06,2.288712591576638e-09,0.0,6.228605896150257e-05,1.4421832935193043e-05,8.913241763224507e-06
"D-(+)-Ribono-1,4-lactone ",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
D-(+)-Talofuranose,6.350101381471725e-05,0.0001118314390849081,0.00013610394511230807,0.00016480081606455468,0.00013610394511230807,1.0643475286929393e-05
D-Allofuranose,5.3835171916323376e-05,3.8097625508837195e-05,6.238935363090239e-06,8.355607329454319e-07,1.2016705068176967e-05,4.989954409022464e-05
D-Arabinose,1.0732063138688449e-05,3.4018174026168576e-05,3.101308615054718e-05,3.226693997592152e-05,2.735531444564817e-05,8.736115967055024e-06
Decanoic acid,2.1834977799224203e-05,2.5649715426609503e-05,2.6590830101793257e-05,1.2386128150036162e-05,9.486867271749878e-06,3.2908986494800884e-05
Decyl oleate,3.0624966559567074e-05,1.4864586454833728e-05,4.245495791478588e-06,2.891541583068076e-05,1.5308412125154441e-06,5.729262896743729e-05
Dehydroabietic acid,1.657876497583457e-05,2.763049861118689e-05,2.6787585419746015e-05,5.78660675571529e-06,2.763049861118689e-05,2.1643036174431583e-05
Deoxycholic Acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Deoxyribopyranose,4.143650717333138e-05,3.916438176610061e-06,2.360173208743259e-05,4.583419628296123e-06,1.8277450190145645e-05,3.921669419652718e-05
"D-Erythro-Pentitol, 2-deoxy-",6.923810095332292e-07,2.00157898413748e-05,9.486867271749878e-06,2.144398281291842e-06,1.917958704543705e-08,3.698001652892968e-07
"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-posphate",3.317049166967187e-09,8.280633464815508e-06,1.0261147424161165e-05,4.84941585061175e-05,1.805522489530305e-05,3.730631084829245e-06
d-Erythrotetrofuranose,2.144398281291842e-06,2.288712591576638e-09,0.0,6.923810095332292e-07,1.917958704543705e-08,6.84637212882438e-06
Desmethylverapamil,1.676694893462815e-05,2.8126265711123824e-05,0.0,1.5018670435401597e-09,1.6450359872157637e-05,3.698001652892968e-07
D-Fructose,1.0894776337191838e-05,4.583419628296123e-06,2.4323677545534385e-05,1.5018670435401597e-09,1.2386128150036162e-05,3.698001652892968e-07
D-Fucitol,3.317049166967187e-09,1.4544582915854815e-06,3.1562037456670997e-06,1.6855473654435217e-05,1.836056416543893e-06,3.698001652892968e-07
D-Glucose,2.2960613279423694e-06,1.2621640375920455e-05,9.746818746062618e-07,1.4111415026930075e-07,3.226693997592152e-05,1.676694893462815e-05
Dihydrouracil,7.697062205434122e-06,1.1406293571200673e-05,1.8648784226797527e-05,3.178944502057086e-05,1.887068240475639e-05,1.2128426444807097e-05
Dihydroxyacetone,1.8743380129594983e-05,2.6598217044704094e-06,1.0894776337191838e-05,2.6213841546508234e-05,4.583419628296123e-06,3.698001652892968e-07
"Dimethyl hexopyranosiduronate, alpha-D",5.525347507631698e-05,5.908290250103023e-05,6.923810095332292e-07,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
DL-Phenylalanine,6.684098568706045e-06,5.393937924956675e-06,1.0386845766700366e-05,2.2786821843590108e-05,1.0261147424161165e-05,1.5680182502759232e-05
D-Mannopyranose,7.31820055108666e-06,1.4111415026930075e-07,4.583419628296123e-06,9.746818746062618e-07,1.1350290953525683e-05,3.698001652892968e-07
D-Mannose,3.317049166967187e-09,4.6386620429870207e-07,1.5308412125154441e-06,7.83256658946541e-05,1.917958704543705e-08,3.698001652892968e-07
Dodecanamide,4.477890534636052e-05,2.288712591576638e-09,6.034563130235955e-05,1.5018670435401597e-09,1.917958704543705e-08,2.4838934877711078e-05
"Dodecanoic acid, isooctyl ester",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,5.508355273131858e-06
Dodecanoic acid,3.317049166967187e-09,2.288712591576638e-09,0.0,0.0004725347637260312,1.917958704543705e-08,3.698001652892968e-07
D-Psicofuranose,5.980927869482815e-07,2.288712591576638e-09,1.6150478282736578e-06,1.5018670435401597e-09,1.38972320822724e-06,3.698001652892968e-07
D-Ribofuranose,3.317049166967187e-09,7.094423427928346e-05,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
D-Ribose,3.317049166967187e-09,7.975342044517285e-07,8.654293183905291e-08,1.603110529073754e-05,4.143650717333138e-05,3.698001652892968e-07
D-Xylopyranose,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
D-Xylose,2.1932952715233096e-05,3.716970353365187e-05,3.8445826984092434e-05,1.8954218216158324e-05,4.989954409022464e-05,1.7005674772614e-05
"Erythrono-1,4-lactone",3.1647344176765684e-05,3.5632149126457636e-05,5.2490809331963156e-05,6.350101381471725e-05,6.854197017085001e-05,4.714610217370404e-05
Ethanolamine,1.7390712391228288e-05,2.4840393181237777e-06,3.178944502057086e-05,1.4327388252791498e-05,0.00021840933863851285,4.2360097759022124e-05
Ethyl alpha-D-glucopyranoside,7.975342044517285e-07,6.5438836421960575e-06,0.0,1.5867786125519386e-05,1.1823612346456872e-06,6.973314190749594e-06
Ethyl glycolate,2.847141846008686e-05,3.610404236469199e-05,1.7967467463707408e-05,1.9730405206250328e-05,1.917958704543705e-08,3.536093243953963e-05
Ferulic acid,3.5904306679697744e-05,2.7860148254991692e-05,3.639191833268272e-05,8.736115967055024e-06,6.228605896150257e-05,1.9730405206250328e-05
"Gluconolactone (3R,4S,5R,6R)",3.574596130795985e-06,4.305619201828444e-06,3.863825895123967e-07,6.84637212882438e-06,4.149837448191821e-06,5.120879916819872e-06
Glucopyranose,1.4544582915854815e-06,5.245461032053393e-06,2.488358826583987e-07,1.4781676122417061e-05,1.0643475286929393e-05,1.0514066459711718e-05
Glyceric acid,3.668528476095749e-05,2.8667740313560866e-05,2.7860148254991692e-05,1.3257876091019897e-05,3.11542014918176e-05,4.662089489572254e-06
Glycerol monostearate,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Glycerol tricaprylate,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Glycerol,3.716970353365187e-05,8.736115967055024e-06,3.921669419652718e-05,2.763049861118689e-05,5.158756138369421e-05,4.7459063005086846e-05
Glycolic acid,1.757444474833436e-05,2.2583294684846227e-05,2.7137523246680706e-05,1.8743380129594983e-05,2.41512614558997e-05,1.777017388964433e-05
"Guanidine, N,N-dimethyl",2.7137523246680706e-05,2.360173208743259e-05,2.105898820992524e-05,1.1350290953525683e-05,2.1289514608228618e-05,3.7529811613004836e-05
"Gulonic acid, gamma-lactone",1.4518114604552435e-05,1.4518114604552435e-05,2.8126265711123824e-05,2.532296107365242e-05,3.14905036478822e-05,8.837618555691014e-06
Heptadecanoic acid,1.9261792845315355e-05,1.887068240475639e-05,2.2786821843590108e-05,1.3393244608750065e-05,2.024810516425435e-05,2.020522907284266e-05
Hexacosanoic acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"Hexadecanoic acid, 4-hydroxybutyl ester",2.020522907284266e-05,3.3132118020880145e-06,5.980927869482815e-07,1.5018670435401597e-09,1.917958704543705e-08,0.0001538954015144338
"Hexadecanoic acid, ethyl ester",1.2323662411938441e-05,1.2016705068176967e-05,1.3257876091019897e-05,8.392569043058912e-06,1.2621640375920455e-05,2.7137523246680706e-05
"Hexadecanoic acid, methyl ester",1.5680182502759232e-05,1.5867786125519386e-05,1.816004922937347e-05,7.697062205434122e-06,1.121290687352542e-05,3.716970353365187e-05
"Hexadecanoic acid, tetradecyl ester",5.2490809331963156e-05,2.488358826583987e-07,0.0,3.1952970029292075e-05,7.975342044517285e-07,5.245461032053393e-06
Hexanedioic acid,1.603110529073754e-05,3.255935803312797e-05,2.2583294684846227e-05,8.837618555691014e-06,1.2265130421583652e-05,4.5596482094246104e-05
Hexanoic acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,0.00012470064241930977
"Hexonic acid, 3-deoxy-, gamma-lactone",1.6302789015847792e-05,2.2786821843590108e-05,1.1761973782469905e-05,6.684098568706045e-06,1.0732063138688449e-05,4.245495791478588e-06
"Hydantoin, 5-hydroxy",0.00010163574140595044,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
