,Feci_LPS_CTRL_934_23022024,Feci_LPS_CTRL_935_23022024,Feci_LPS_CTRL_938_26022024,Feci_LPS_CTRL_940_26022024,Feci_LPS_CTRL_943_26022024,Feci_LPS-CTRL_941REP_01032024
Hydracrylic acid,1.2016705068176967e-05,1.3966068169517631e-05,1.636421583195918e-05,1.7005674772614e-05,1.917958704543705e-08,1.4128713087854016e-05
Hydroquinone,4.017807340153954e-05,3.50469864040057e-05,1.2688530071147199e-05,1.9261792845315355e-05,2.1932952715233096e-05,2.1834977799224203e-05
Hymexazole,1.939805458292396e-05,1.717122286859092e-05,1.805522489530305e-05,2.1289514608228618e-05,2.3014179859151952e-05,1.8648784226797527e-05
Idoxuridine ,8.736115967055024e-06,1.3393244608750065e-05,2.6213841546508234e-05,1.0732063138688449e-05,2.6787585419746015e-05,1.910563731616014e-05
"Inosose-2, myo",1.838340221627417e-05,1.0643475286929393e-05,2.8667740313560866e-05,8.027817364163943e-06,7.094423427928346e-05,2.891541583068076e-05
Isocitric acid lactone,3.317049166967187e-09,1.2386128150036162e-05,1.757444474833436e-05,7.817249984686151e-06,3.467651619542703e-05,1.8484160585226226e-05
Isonicotinic Acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Isopropyl myristate,2.283836865138379e-05,2.024810516425435e-05,2.024810516425435e-05,1.1406293571200673e-05,1.657876497583457e-05,3.2150133015745745e-05
Isopropyl palmitate,2.024810516425435e-05,1.910563731616014e-05,2.41512614558997e-05,1.4421832935193043e-05,2.0379725737047206e-05,3.101308615054718e-05
Itaconic acid,3.317049166967187e-09,4.989954409022464e-05,6.350101381471725e-05,1.5018670435401597e-09,7.439637344533094e-05,3.698001652892968e-07
Ketamine,2.3014179859151952e-05,1.4716248240761122e-05,2.6261233016509606e-05,3.534753816188769e-06,9.603791893972332e-06,1.6302789015847792e-05
Kojic acid,1.1406293571200673e-05,3.0457762562984163e-05,2.5649715426609503e-05,4.190080426421601e-05,4.1170243598062004e-05,3.698001652892968e-07
L-(-)-Sorbofuranose,3.317049166967187e-09,1.2851666336797697e-06,2.2960613279423694e-06,3.956451497396527e-05,1.917958704543705e-08,3.698001652892968e-07
L-(+)-Lactic acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
L-(+)-Rhamnopyranose,3.2150133015745745e-05,2.4838934877711078e-05,2.1932952715233096e-05,1.5018670435401597e-09,2.2395648107797876e-05,3.698001652892968e-07
L-5-Oxoproline,9.603791893972332e-06,8.784195921187054e-06,1.0514066459711718e-05,2.929367821373273e-05,1.3084543348858826e-05,1.4864586454833728e-05
Lactic Acid,7.094423427928346e-05,5.3561814584747214e-05,2.370155473521411e-08,1.939805458292396e-05,7.83256658946541e-05,3.467651619542703e-05
L-Alanine,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
L-Aspartic acid,8.392569043058912e-06,1.8954218216158324e-05,1.657876497583457e-05,3.536093243953963e-05,1.636421583195918e-05,1.8954218216158324e-05
Levoglucosan,1.887068240475639e-05,1.757444474833436e-05,2.4064840669503068e-05,1.3966068169517631e-05,2.4838934877711078e-05,2.553707235007485e-05
Levulinic acid,4.307102512362269e-05,4.477890534636052e-05,2.763049861118689e-05,8.608358890077261e-06,1.5770150150179934e-05,2.080604252632017e-05
L-Fucose,2.3176593250985778e-05,4.017807340153954e-05,2.0379725737047206e-05,1.5018670435401597e-09,5.650563956966111e-05,6.238935363090239e-06
L-Glutamic acid,4.149837448191821e-06,3.730631084829245e-06,1.5770150150179934e-05,4.143650717333138e-05,8.49036634763833e-06,1.3777551865963965e-05
Lignoceric acid,7.83256658946541e-05,7.551080677310789e-05,0.0,1.5018670435401597e-09,1.917958704543705e-08,9.176438227712911e-05
L-Isoleucine,2.6261233016509606e-05,2.173879122112292e-05,3.1647344176765684e-05,5.2490809331963156e-05,5.3561814584747214e-05,3.639191833268272e-05
L-Leucine,1.777017388964433e-05,1.616923836971354e-05,2.847141846008686e-05,7.932715454133417e-06,3.889895291349025e-05,3.178944502057086e-05
l-Leucyl-l-valine,4.5596482094246104e-05,3.375311155399184e-05,3.11542014918176e-05,9.176438227712911e-05,1.917958704543705e-08,3.698001652892968e-07
L-Proline,1.5087445303643446e-05,9.980623081251986e-06,3.2150133015745745e-05,1.1108658858579163e-05,1.2549232521950219e-05,2.024810516425435e-05
L-Rhamnose,3.1952970029292075e-05,4.5596482094246104e-05,4.328965968016459e-05,1.757444474833436e-05,2.466747331644314e-05,8.280633464815508e-06
"L-Sorbopyranose, (1S,2R,3S)",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
L-Threonine,8.913241763224507e-06,3.042036384063328e-06,3.0624966559567074e-05,4.989954409022464e-05,2.8667740313560866e-05,2.3176593250985778e-05
"L-Valinamide, N(2),N(2)-dimethyl",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
L-Valine,1.3257876091019897e-05,1.0261147424161165e-05,2.1834977799224203e-05,2.214010862712192e-05,3.8097625508837195e-05,1.939805458292396e-05
L-Valyl-L-leucine,3.317049166967187e-09,2.288712591576638e-09,3.716970353365187e-05,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Malic acid,1.2265130421583652e-05,5.158756138369421e-05,9.901359718928036e-06,5.245461032053393e-06,1.616923836971354e-05,2.173879122112292e-05
"Mannonic acid, gamma-lactone",3.317049166967187e-09,2.288712591576638e-09,0.0,2.541312102594124e-05,3.1647344176765684e-05,3.610404236469199e-05
Menthol,2.1143605220811348e-05,1.6855473654435217e-05,1.514970413027093e-05,6.7727348997407e-06,1.2688530071147199e-05,2.8667740313560866e-05
"Methyl (3,4-dimethoxyphenyl)(hydroxy)acetate",1.8954218216158324e-05,2.0379725737047206e-05,2.214010862712192e-05,3.916438176610061e-06,3.2908986494800884e-05,1.64960083791884e-05
Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside,3.317049166967187e-09,4.714610217370404e-05,0.0,4.328965968016459e-05,4.190080426421601e-05,3.698001652892968e-07
Methyl alpha-Arabinofuranoside,3.317049166967187e-09,6.034563130235955e-05,0.0,1.5018670435401597e-09,0.00016480081606455468,3.698001652892968e-07
Methyl alpha-D-glucofuranoside,3.317049166967187e-09,0.0001538954015144338,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Methyl alpha-N-acetyl-D-galactosamine,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Methyl beta-Arabinofuranoside,3.317049166967187e-09,2.288712591576638e-09,1.9383192840030995e-06,1.5018670435401597e-09,1.917958704543705e-08,1.8277450190145645e-05
"Methyl galactoside (1S,2S,3S,4R,5R)",4.6386620429870207e-07,2.288712591576638e-09,7.83256658946541e-05,8.49036634763833e-06,3.730631084829245e-06,3.698001652892968e-07
Methyl stearate,1.1630028902558375e-05,1.5023138006759788e-05,1.1108658858579163e-05,1.121290687352542e-05,1.3966068169517631e-05,2.283836865138379e-05
Methylmaleic acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Methylsuccinic acid,3.534753816188769e-06,1.0514066459711718e-05,1.3084543348858826e-05,2.020522907284266e-05,6.345107672537229e-06,1.2386128150036162e-05
Monocaprylin,2.488358826583987e-07,6.923810095332292e-07,1.4111415026930075e-07,1.5018670435401597e-09,1.917958704543705e-08,2.00157898413748e-05
Monolaurin,3.317049166967187e-09,0.0002482324990964281,0.0,7.094423427928346e-05,1.917958704543705e-08,3.698001652892968e-07
Monomethyl succinate,1.514970413027093e-05,2.144329071869341e-05,1.3670646908920618e-05,8.913241763224507e-06,1.4518114604552435e-05,2.3014179859151952e-05
Myristic acid,1.7005674772614e-05,1.676694893462815e-05,1.5680182502759232e-05,1.2072245970380529e-05,1.3257876091019897e-05,2.466747331644314e-05
"N,N-Diethyl-carbamate",2.6443296428767492e-05,2.3176593250985778e-05,1.4128713087854016e-05,1.2265130421583652e-05,1.910563731616014e-05,2.9528927461757194e-05
"N,N-Diethyl-2-aminoethanol",6.345107672537229e-06,4.400464789219103e-05,1.121290687352542e-05,3.042036384063328e-06,2.020522907284266e-05,5.627939780306909e-06
N-(2-hydroxyethyl)-succinimide,3.178944502057086e-05,2.891541583068076e-05,1.3777551865963965e-05,9.486867271749878e-06,2.080604252632017e-05,1.5867786125519386e-05
N-Acetyl glucosamine methoxime,9.834354199581247e-06,2.9528927461757194e-05,6.684098568706045e-06,1.5018670435401597e-09,1.917958704543705e-08,1.1108658858579163e-05
"N-Acetyl-D-galactosamine, (R,R,R,R)",8.49036634763833e-06,3.226693997592152e-05,8.49036634763833e-06,8.671316848159434e-05,0.00012470064241930977,3.8445826984092434e-05
N-Acetyl-L-glutamic acid,5.245461032053393e-06,4.662089489572254e-06,1.1009017472615811e-05,1.8277450190145645e-05,3.574596130795985e-06,3.698001652892968e-07
N-Acetyl-L-phenylalanine,3.317049166967187e-09,3.956451497396527e-05,0.0,1.5018670435401597e-09,1.917958704543705e-08,9.980623081251986e-06
Nadolol,3.317049166967187e-09,2.288712591576638e-09,7.439637344533094e-05,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
N-Ethyldiethanolamine,1.4327388252791498e-05,3.1952970029292075e-05,3.14905036478822e-05,3.5632149126457636e-05,2.929367821373273e-05,3.698001652892968e-07
Niacin,2.4535257256643036e-05,2.466747331644314e-05,3.956451497396527e-05,6.034563130235955e-05,2.2583294684846227e-05,1.3257876091019897e-05
N-Methyl-L-proline,2.532296107365242e-05,2.9092428362042667e-05,0.0,2.4838934877711078e-05,1.5867786125519386e-05,3.698001652892968e-07
n-Nonylcyclohexane,3.11542014918176e-05,2.6787585419746015e-05,3.2908986494800884e-05,1.4864586454833728e-05,1.2851666336797697e-06,6.602528415903965e-05
Nonadecanoic acid,2.2786821843590108e-05,1.5087445303643446e-05,1.910563731616014e-05,1.2549232521950219e-05,1.7390712391228288e-05,2.532296107365242e-05
Nonanoic acid,2.4064840669503068e-05,2.1289514608228618e-05,5.3561814584747214e-05,2.0379725737047206e-05,8.837618555691014e-06,3.4018174026168576e-05
Norketamine,3.14905036478822e-05,2.105898820992524e-05,2.3176593250985778e-05,1.717122286859092e-05,3.668528476095749e-05,2.4535257256643036e-05
n-Tridecylcyclohexane,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Octadecyl octyl ether,6.034563130235955e-05,2.847141846008686e-05,0.0,1.6302789015847792e-05,1.917958704543705e-08,3.698001652892968e-07
Octanoic acid,2.5077891059761747e-05,1.8743380129594983e-05,3.5632149126457636e-05,1.64960083791884e-05,1.5023138006759788e-05,3.375311155399184e-05
Oxalic acid,3.536093243953963e-05,1.121290687352542e-05,2.1643036174431583e-05,1.8648784226797527e-05,2.5649715426609503e-05,2.763049861118689e-05
"Oxalic acid, isobutyl heptyl ester",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Palmitelaidic acid,1.121290687352542e-05,2.288712591576638e-09,1.4421832935193043e-05,1.676694893462815e-05,1.3393244608750065e-05,3.698001652892968e-07
Palmitic Acid,3.610404236469199e-05,3.863825895123967e-07,3.4018174026168576e-05,2.00157898413748e-05,6.923810095332292e-07,4.477890534636052e-05
Pantolactone,4.2360097759022124e-05,3.5904306679697744e-05,3.610404236469199e-05,2.3773058557190056e-05,3.1952970029292075e-05,4.906670434602368e-05
Pantothenic acid ,3.4184008197819116e-06,4.245495791478588e-06,1.3139300277277378e-05,3.14905036478822e-05,9.107782903386053e-06,4.836203143128063e-06
Pentadecanoic acid,1.3084543348858826e-05,1.7967467463707408e-05,1.64960083791884e-05,1.1761973782469905e-05,1.4716248240761122e-05,2.2583294684846227e-05
Pentanedioic acid,3.0457762562984163e-05,3.536093243953963e-05,4.5596482094246104e-05,4.714610217370404e-05,1.676694893462815e-05,1.4421832935193043e-05
"Pentanoic acid, 4-methyl-2-oxo-",3.317049166967187e-09,2.288712591576638e-09,0.0,3.11542014918176e-05,4.906670434602368e-05,3.698001652892968e-07
Pentanoic acid,7.817249984686151e-06,3.4184008197819116e-06,7.697062205434122e-06,3.4184008197819116e-06,2.173879122112292e-05,1.2323662411938441e-05
"Pentitol, 3-desoxy",2.891541583068076e-05,8.671316848159434e-05,2.0930048338659614e-05,5.158756138369421e-05,9.746818746062618e-07,6.345107672537229e-06
Phenol,3.272055131890429e-05,2.7137523246680706e-05,8.913241763224507e-06,1.2688530071147199e-05,1.1108658858579163e-05,3.0457762562984163e-05
phenoxyethanol,4.7459063005086846e-05,4.0908209672600844e-05,1.1917979989316106e-05,9.425500260985755e-06,1.9261792845315355e-05,2.41512614558997e-05
Phenylalanine,3.730631084829245e-06,2.144398281291842e-06,7.166386589034193e-06,2.847141846008686e-05,6.973314190749594e-06,1.3393244608750065e-05
Phenylpropanolamine,1.816004922937347e-05,2.288712591576638e-09,2.83600203602203e-05,5.508355273131858e-06,1.917958704543705e-08,3.698001652892968e-07
Phloretic acid,3.317049166967187e-09,2.288712591576638e-09,0.00019189117591191356,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Phthalazin-1-one ,2.00157898413748e-05,2.080604252632017e-05,1.9730405206250328e-05,1.657876497583457e-05,2.105898820992524e-05,3.255935803312797e-05
Phthalimide,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Picolinic acid,5.78660675571529e-06,7.31820055108666e-06,1.838340221627417e-05,9.834354199581247e-06,2.144329071869341e-05,2.5649715426609503e-05
Pimelic acid,3.226693997592152e-05,3.921669419652718e-05,9.603791893972332e-06,3.2677213517781227e-06,2.2960613279423694e-06,5.908290250103023e-05
Pipecolic acid,3.956451497396527e-05,2.541312102594124e-05,3.50469864040057e-05,2.7860148254991692e-05,2.9092428362042667e-05,1.2688530071147199e-05
"Pregn-4-ene-3,20-dione, 16,17-epoxy-, (16alpha)",3.317049166967187e-09,5.401630854028378e-07,0.0,1.5018670435401597e-09,1.6302789015847792e-05,3.698001652892968e-07
"Propane, 2-methyl",3.255935803312797e-05,1.1761973782469905e-05,3.8097625508837195e-05,1.514970413027093e-05,3.0457762562984163e-05,3.9787260803249463e-05
Propanedioic acid,2.7860148254991692e-05,2.3014179859151952e-05,1.9511628227902818e-05,1.0261147424161165e-05,2.2786821843590108e-05,2.1143605220811348e-05
"Propanoic acid, 2-methyl-, hexyl ester",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"Propanoic acid, 2-oxo",3.317049166967187e-09,0.00016480081606455468,0.0001538954015144338,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"Propanoic acid, 2-hydroxy-3-phosphate-",3.317049166967187e-09,3.2150133015745745e-05,1.38972320822724e-06,5.9854742218891424e-06,1.917958704543705e-08,3.698001652892968e-07
Propylamine,1.9795645477592118e-05,1.816004922937347e-05,1.1630028902558375e-05,9.901359718928036e-06,1.4128713087854016e-05,3.14905036478822e-05
Protocatechoic acid,1.616923836971354e-05,2.283836865138379e-05,1.887068240475639e-05,1.616923836971354e-05,7.817249984686151e-06,2.5077891059761747e-05
Putrescine,3.317049166967187e-09,9.746818746062618e-07,8.355607329454319e-07,7.975342044517285e-07,1.917958704543705e-08,2.7860148254991692e-05
Pyridoxic acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,0.00021840933863851285
Pyridoxine,3.317049166967187e-09,2.288712591576638e-09,0.0,0.00019189117591191356,1.917958704543705e-08,3.698001652892968e-07
Pyrogallol,3.375311155399184e-05,2.1932952715233096e-05,5.120879916819872e-06,6.0356557680024845e-06,1.1009017472615811e-05,5.3835171916323376e-05
Pyroglutamic acid,0.0002482324990964281,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Pyrrole-2-carboxylic acid,1.7967467463707408e-05,1.9795645477592118e-05,1.4864586454833728e-05,2.5077891059761747e-05,2.1834977799224203e-05,1.5023138006759788e-05
Ribitol,1.910563731616014e-05,2.7857133842763493e-06,6.973314190749594e-06,1.5018670435401597e-09,5.508355273131858e-06,5.393937924956675e-06
Ribonic acid,3.317049166967187e-09,5.627939780306909e-06,6.5438836421960575e-06,3.1647344176765684e-05,4.7459063005086846e-05,1.0894776337191838e-05
Salsoline,4.583419628296123e-06,5.508355273131858e-06,5.78660675571529e-06,4.463384885273438e-06,3.534753816188769e-06,0.0002482324990964281
Sebacic acid,3.317049166967187e-09,2.288712591576638e-09,9.176438227712911e-05,0.00013610394511230807,1.917958704543705e-08,3.698001652892968e-07
Sedoheptulose anhydride,2.3773058557190056e-05,2.83600203602203e-05,4.6386620429870207e-07,1.836056416543893e-06,1.603110529073754e-05,1.0386845766700366e-05
Serine,9.268868110722537e-06,9.425500260985755e-06,1.4518114604552435e-05,1.4518114604552435e-05,1.717122286859092e-05,2.105898820992524e-05
Ser-Leu,3.317049166967187e-09,2.288712591576638e-09,0.0,0.00010163574140595044,1.917958704543705e-08,3.698001652892968e-07
Sinapinic acid,0.0001118314390849081,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Stearic acid,2.929367821373273e-05,1.939805458292396e-05,5.908290250103023e-05,2.6598217044704094e-06,9.425500260985755e-06,0.0001118314390849081
"Stigmast-5-ene, 3beta",3.317049166967187e-09,7.83256658946541e-05,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Stigmastanol,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Suberic acid,9.486867271749878e-06,1.2128426444807097e-05,1.4716248240761122e-05,1.2621640375920455e-05,1.1761973782469905e-05,2.1289514608228618e-05
Supraene,1.2072245970380529e-05,1.1009017472615811e-05,7.31820055108666e-06,3.730631084829245e-06,3.2677213517781227e-06,3.50469864040057e-05
Syringaldehyde,1.3670646908920618e-05,1.777017388964433e-05,1.536592651890115e-05,2.2583294684846227e-05,1.9795645477592118e-05,1.9795645477592118e-05
Syringic acid,3.9787260803249463e-05,3.272055131890429e-05,2.532296107365242e-05,1.0894776337191838e-05,2.553707235007485e-05,1.0261147424161165e-05
Tetrahydro-2-furanylmethanol,3.317049166967187e-09,3.9787260803249463e-05,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.8097625508837195e-05
Tetrahydrogeranyl formate,1.805522489530305e-05,1.636421583195918e-05,1.4544582915854815e-06,9.603791893972332e-06,2.214010862712192e-05,3.956451497396527e-05
Tetrahydrolinalool,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Thymidine,2.6598217044704094e-06,5.120879916819872e-06,8.027817364163943e-06,3.8445826984092434e-05,8.027817364163943e-06,7.486126882586817e-06
"Thymidine, 5'-phosphate",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,3.4184008197819116e-06,3.698001652892968e-07
"Thymine, 1,3-dimethyl-6-hydroxymethyl",1.636421583195918e-05,4.143650717333138e-05,2.891541583068076e-05,2.1643036174431583e-05,1.1917979989316106e-05,1.2016705068176967e-05
trans-Coniferryl alchool,3.317049166967187e-09,2.288712591576638e-09,0.0,7.551080677310789e-05,1.917958704543705e-08,3.698001652892968e-07
Tributyl acetylcitrate,3.317049166967187e-09,1.1917979989316106e-05,0.0,1.5018670435401597e-09,6.602528415903965e-05,3.698001652892968e-07
Tricine,1.38972320822724e-06,1.5308412125154441e-06,4.017807340153954e-05,2.5522233466767726e-06,3.9787260803249463e-05,3.698001652892968e-07
Triethanolamine,1.0386845766700366e-05,1.0894776337191838e-05,1.8743380129594983e-05,1.838340221627417e-05,1.2323662411938441e-05,2.1932952715233096e-05
"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",8.784195921187054e-06,1.838340221627417e-05,0.0,6.602528415903965e-05,2.4535257256643036e-05,3.698001652892968e-07
Triphenylene,3.317049166967187e-09,2.288712591576638e-09,0.00012470064241930977,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Tripropylene glycol monomethyl ether,1.4781676122417061e-05,1.5770150150179934e-05,2.931807560232721e-06,1.777017388964433e-05,3.7529811613004836e-05,2.6110884570729686e-05
Trisaminol,1.3777551865963965e-05,1.9730405206250328e-05,6.7727348997407e-06,5.120879916819872e-06,5.78660675571529e-06,1.757444474833436e-05
Tyrosine,6.5438836421960575e-06,4.836203143128063e-06,1.2323662411938441e-05,1.9511628227902818e-05,1.1406293571200673e-05,1.0732063138688449e-05
Undecanoic acid,5.627939780306909e-06,6.84637212882438e-06,5.627939780306909e-06,4.245495791478588e-06,4.245495791478588e-06,1.657876497583457e-05
Uracil,4.836203143128063e-06,7.817249984686151e-06,1.3966068169517631e-05,2.3176593250985778e-05,1.0386845766700366e-05,9.603791893972332e-06
Urea,2.931807560232721e-06,2.3783645125629813e-06,4.149837448191821e-06,8.784195921187054e-06,1.2072245970380529e-05,2.2395648107797876e-05
Uridine,3.1562037456670997e-06,6.684098568706045e-06,4.463384885273438e-06,3.4018174026168576e-05,4.836203143128063e-06,6.0356557680024845e-06
Valylglycine,3.317049166967187e-09,2.288712591576638e-09,0.0,2.9092428362042667e-05,2.6598217044704094e-06,3.698001652892968e-07
Valylvaline,1.2621640375920455e-05,1.2323662411938441e-05,1.4327388252791498e-05,4.477890534636052e-05,1.1630028902558375e-05,3.698001652892968e-07
Vanillic Acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Vanillin,1.1823612346456872e-06,1.1823612346456872e-06,8.837618555691014e-06,2.105898820992524e-05,6.84637212882438e-06,1.838340221627417e-05
Xylazine,2.8667740313560866e-05,1.8648784226797527e-05,2.5077891059761747e-05,1.5018670435401597e-09,2.6110884570729686e-05,8.49036634763833e-06
"Xylonic acid, delta-lactone",5.393937924956675e-06,6.7727348997407e-06,3.574596130795985e-06,3.921669419652718e-05,3.255935803312797e-05,9.425500260985755e-06
Xylose,4.245495791478588e-06,1.8484160585226226e-05,4.7459063005086846e-05,5.3561814584747214e-05,1.917958704543705e-08,1.7967467463707408e-05
