Node 1 Name,Node 1 Tissue,Node 2 Name,Node 2 Tissue,edge_dir
Cope,Choroid Plexus,"2,4-Di-tert-butylphenol",Feces,-1
Spmip6,Choroid Plexus,"2,4-Di-tert-butylphenol",Feces,-1
Vps37d,Choroid Plexus,"2,4-Di-tert-butylphenol",Feces,-1
Nedd4,Choroid Plexus,L-Valine,Feces,1
Wbp11,Choroid Plexus,L-Valine,Feces,1
Usf3,Choroid Plexus,L-Valine,Feces,1
Fn3krp,Choroid Plexus,L-Valine,Feces,1
Pak2,Choroid Plexus,L-Valine,Feces,1
Cebpz,Choroid Plexus,L-Valine,Feces,1
Kin,Choroid Plexus,L-Valine,Feces,1
Ibtk,Choroid Plexus,L-Valine,Feces,1
Ctdspl2,Choroid Plexus,L-Valine,Feces,1
Pabpc1,Choroid Plexus,L-Valine,Feces,1
Kif2a,Choroid Plexus,L-Valine,Feces,1
Arhgef12,Choroid Plexus,L-Valine,Feces,1
Arhgap5,Choroid Plexus,L-Valine,Feces,1
Slk,Choroid Plexus,L-Valine,Feces,1
Cdkn1c,Choroid Plexus,L-Valine,Feces,1
Smim10l1,Choroid Plexus,L-Valine,Feces,1
Ap3b1,Choroid Plexus,L-Valine,Feces,1
Wasl,Choroid Plexus,L-Valine,Feces,1
Gsk3b,Choroid Plexus,L-Valine,Feces,1
D630036H23Rik,Choroid Plexus,L-Valine,Feces,1
Pbx1,Choroid Plexus,L-Valine,Feces,1
Tulp4,Choroid Plexus,L-Valine,Feces,1
Wbp4,Choroid Plexus,L-Valine,Feces,1
Vps13b,Choroid Plexus,L-Valine,Feces,1
Setx,Choroid Plexus,L-Valine,Feces,1
Pcmtd1,Choroid Plexus,L-Valine,Feces,1
Mafg,Choroid Plexus,L-Valine,Feces,1
B230219D22Rik,Choroid Plexus,L-Valine,Feces,1
Stag2,Choroid Plexus,L-Valine,Feces,1
Phactr2,Choroid Plexus,L-Valine,Feces,1
Fcho2,Choroid Plexus,L-Valine,Feces,1
Smarca5,Choroid Plexus,L-Valine,Feces,1
Gtpbp4,Choroid Plexus,L-Valine,Feces,1
Vps36,Choroid Plexus,L-Valine,Feces,1
Mob4,Choroid Plexus,Deoxyglucose,Feces,-1
Igfbp6,Choroid Plexus,Deoxyglucose,Feces,-1
Silc1,Choroid Plexus,Vanillin,Feces,-1
Adcy9,Choroid Plexus,Vanillin,Feces,-1
Cdkn1c,Choroid Plexus,Vanillin,Feces,1
Gm43568,Choroid Plexus,Vanillin,Feces,1
Smim10l1,Choroid Plexus,Vanillin,Feces,1
Rdx,Choroid Plexus,Vanillin,Feces,1
Golm2,Choroid Plexus,Vanillin,Feces,1
Cnih2,Choroid Plexus,Vanillin,Feces,-1
Osgepl1,Choroid Plexus,Vanillin,Feces,1
Atn1,Choroid Plexus,Vanillin,Feces,1
Map3k5,Choroid Plexus,Vanillin,Feces,1
Ptgr3,Choroid Plexus,Vanillin,Feces,1
Serpinb8,Choroid Plexus,Vanillin,Feces,1
Gsta4,Choroid Plexus,Vanillin,Feces,1
Dnajc21,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Bhmt2,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Psma4,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Prxl2c,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Smim10l1,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Asb8,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,-1
Wbp4,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Setx,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Cep57,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Ofd1,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Efhb,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Vmp1,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,-1
Zfp1007,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Gtpbp4,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Wbp11,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Wbp11,Choroid Plexus,L-Aspartic acid,Feces,1
Wbp11,Choroid Plexus,Methylsuccinic acid,Feces,1
Ibtk,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Ctdspl2,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Srebf2,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,-1
Gpaa1,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,-1
Ap3b1,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Rhob,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,-1
Pi4ka,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,-1
Pbx1,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Tulp4,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Vps13b,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Setx,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Pja2,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Dync1h1,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,-1
Tceal8,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Vps36,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Ibtk,Choroid Plexus,L-Aspartic acid,Feces,1
Ctdspl2,Choroid Plexus,L-Aspartic acid,Feces,1
Kcmf1,Choroid Plexus,L-Aspartic acid,Feces,1
Cep78,Choroid Plexus,L-Aspartic acid,Feces,1
Ibtk,Choroid Plexus,Methylsuccinic acid,Feces,1
Apc2,Choroid Plexus,Methylsuccinic acid,Feces,-1
Mtpn,Choroid Plexus,Methylsuccinic acid,Feces,1
Pthlh,Choroid Plexus,Methylsuccinic acid,Feces,1
Serpinb8,Choroid Plexus,Methylsuccinic acid,Feces,1
Plgrkt,Choroid Plexus,2-Pyrrolidinone,Feces,1
Plgrkt,Choroid Plexus,Decyl oleate,Feces,1
Plgrkt,Choroid Plexus,DL-Phenylalanine,Feces,1
Plgrkt,Choroid Plexus,"Gluconolactone (3R,4S,5R,6R)",Feces,1
Plgrkt,Choroid Plexus,L-Isoleucine,Feces,1
Dek,Choroid Plexus,2-Pyrrolidinone,Feces,1
Cdkn1c,Choroid Plexus,2-Pyrrolidinone,Feces,1
Upf2,Choroid Plexus,2-Pyrrolidinone,Feces,1
Atn1,Choroid Plexus,2-Pyrrolidinone,Feces,1
Dnajc7,Choroid Plexus,Decyl oleate,Feces,-1
4930550C14Rik,Choroid Plexus,Decyl oleate,Feces,1
Opa1,Choroid Plexus,Decyl oleate,Feces,1
Jph1,Choroid Plexus,Decyl oleate,Feces,1
Pak2,Choroid Plexus,DL-Phenylalanine,Feces,1
Cebpz,Choroid Plexus,DL-Phenylalanine,Feces,1
Ibtk,Choroid Plexus,DL-Phenylalanine,Feces,1
Ctdspl2,Choroid Plexus,DL-Phenylalanine,Feces,1
Lmtk3,Choroid Plexus,DL-Phenylalanine,Feces,-1
Cyyr1,Choroid Plexus,DL-Phenylalanine,Feces,1
Cdkn1c,Choroid Plexus,DL-Phenylalanine,Feces,1
Ap3b1,Choroid Plexus,DL-Phenylalanine,Feces,1
Rhob,Choroid Plexus,DL-Phenylalanine,Feces,-1
Mtpn,Choroid Plexus,DL-Phenylalanine,Feces,1
Pi4ka,Choroid Plexus,DL-Phenylalanine,Feces,-1
Pbx1,Choroid Plexus,DL-Phenylalanine,Feces,1
Tulp4,Choroid Plexus,DL-Phenylalanine,Feces,1
Wbp4,Choroid Plexus,DL-Phenylalanine,Feces,1
Vps13b,Choroid Plexus,DL-Phenylalanine,Feces,1
Setx,Choroid Plexus,DL-Phenylalanine,Feces,1
Fundc2,Choroid Plexus,DL-Phenylalanine,Feces,1
Stag2,Choroid Plexus,DL-Phenylalanine,Feces,1
Phactr2,Choroid Plexus,DL-Phenylalanine,Feces,1
Smarca5,Choroid Plexus,DL-Phenylalanine,Feces,1
Dhx9,Choroid Plexus,DL-Phenylalanine,Feces,1
Adcy9,Choroid Plexus,"Gluconolactone (3R,4S,5R,6R)",Feces,-1
Nfe2l2,Choroid Plexus,"Gluconolactone (3R,4S,5R,6R)",Feces,1
Dynlt2b,Choroid Plexus,"Gluconolactone (3R,4S,5R,6R)",Feces,1
Gm43568,Choroid Plexus,"Gluconolactone (3R,4S,5R,6R)",Feces,1
Smim10l1,Choroid Plexus,"Gluconolactone (3R,4S,5R,6R)",Feces,1
Gnas,Choroid Plexus,"Gluconolactone (3R,4S,5R,6R)",Feces,1
5430402O13Rik,Choroid Plexus,"Gluconolactone (3R,4S,5R,6R)",Feces,1
Fn3krp,Choroid Plexus,L-Isoleucine,Feces,1
Ctdspl2,Choroid Plexus,L-Isoleucine,Feces,1
Pdlim5,Choroid Plexus,L-Isoleucine,Feces,1
Lmtk3,Choroid Plexus,L-Isoleucine,Feces,-1
Cyyr1,Choroid Plexus,L-Isoleucine,Feces,1
Lepr,Choroid Plexus,L-Isoleucine,Feces,1
Osbp,Choroid Plexus,L-Isoleucine,Feces,1
Klf3,Choroid Plexus,L-Isoleucine,Feces,1
Ccdc148,Choroid Plexus,L-Isoleucine,Feces,1
Cdkn1c,Choroid Plexus,L-Isoleucine,Feces,1
Mrps18a,Choroid Plexus,L-Isoleucine,Feces,-1
Smim10l1,Choroid Plexus,L-Isoleucine,Feces,1
Stk26,Choroid Plexus,L-Isoleucine,Feces,1
Iqgap2,Choroid Plexus,L-Isoleucine,Feces,1
Gnas,Choroid Plexus,L-Isoleucine,Feces,1
Pi4ka,Choroid Plexus,L-Isoleucine,Feces,-1
Pbx1,Choroid Plexus,L-Isoleucine,Feces,1
Golm2,Choroid Plexus,L-Isoleucine,Feces,1
Vps13b,Choroid Plexus,L-Isoleucine,Feces,1
Ahcyl2,Choroid Plexus,L-Isoleucine,Feces,1
Myof,Choroid Plexus,L-Isoleucine,Feces,1
Nsmf,Choroid Plexus,L-Isoleucine,Feces,-1
Serp2,Choroid Plexus,L-Isoleucine,Feces,-1
Rpp30,Choroid Plexus,L-Isoleucine,Feces,1
Gtpbp4,Choroid Plexus,L-Isoleucine,Feces,1
Stxbp4,Choroid Plexus,L-Isoleucine,Feces,1
Ankmy2,Choroid Plexus,5-Oxohexanoic Acid,Feces,-1
Poglut1,Choroid Plexus,5-Oxohexanoic Acid,Feces,1
Grcc10,Choroid Plexus,5-Oxohexanoic Acid,Feces,1
4632415L05Rik,Choroid Plexus,5-Oxohexanoic Acid,Feces,-1
Usf3,Choroid Plexus,Deoxycholic Acid,Feces,1
Usf3,Choroid Plexus,D-Fructose,Feces,1
Smarca2,Choroid Plexus,Deoxycholic Acid,Feces,1
Gdpd3,Choroid Plexus,Deoxycholic Acid,Feces,-1
Smim15,Choroid Plexus,Deoxycholic Acid,Feces,1
Fgl2,Choroid Plexus,Deoxycholic Acid,Feces,-1
Pla2g3,Choroid Plexus,D-Fructose,Feces,-1
Strada,Choroid Plexus,D-Fructose,Feces,1
Zkscan8,Choroid Plexus,D-(-)-Fructopyranose,Feces,1
Kpna4,Choroid Plexus,D-(-)-Fructopyranose,Feces,1
Sh3bgrl2,Choroid Plexus,D-(-)-Fructopyranose,Feces,1
Ube3c,Choroid Plexus,D-(-)-Fructopyranose,Feces,1
Chmp4c,Choroid Plexus,"2-Butenoic acid, 2-hydroxy-",Feces,-1
Baiap2l1,Choroid Plexus,"2-Butenoic acid, 2-hydroxy-",Feces,1
Agbl3,Choroid Plexus,"2-Butenoic acid, 2-hydroxy-",Feces,1
Sulf2,Choroid Plexus,"2-Butenoic acid, 2-hydroxy-",Feces,-1
Zbtb39,Choroid Plexus,"2-Butenoic acid, 2-hydroxy-",Feces,-1
Zfp975,Choroid Plexus,1-Hexacosene,Feces,1
Zfp975,Choroid Plexus,"2,5-Dimethoxyphenol",Feces,1
Zfp975,Choroid Plexus,"2-Allyl-1,4-dimethoxybenzene ",Feces,1
Zfp975,Choroid Plexus,"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Feces,1
Zfp975,Choroid Plexus,3-Hexenedioic acid,Feces,1
Ppp1r12a,Choroid Plexus,1-Hexacosene,Feces,1
Zbtb7a,Choroid Plexus,1-Hexacosene,Feces,1
Pebp4,Choroid Plexus,1-Hexacosene,Feces,1
Fn3krp,Choroid Plexus,"2,5-Dimethoxyphenol",Feces,1
Fn3krp,Choroid Plexus,"2-Allyl-1,4-dimethoxybenzene ",Feces,1
Hmces,Choroid Plexus,"2-Allyl-1,4-dimethoxybenzene ",Feces,-1
Cpxm2,Choroid Plexus,"2-Allyl-1,4-dimethoxybenzene ",Feces,1
Tm9sf3,Choroid Plexus,"2-Allyl-1,4-dimethoxybenzene ",Feces,1
Gsta4,Choroid Plexus,"2-Allyl-1,4-dimethoxybenzene ",Feces,1
A930024E05Rik,Choroid Plexus,"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Feces,1
Zbtb37,Choroid Plexus,3-Hexenedioic acid,Feces,1
Fn3krp,Choroid Plexus,2-Ethylhexanoic acid,Feces,1
Fn3krp,Choroid Plexus,pyrazole,Feces,1
Fn3krp,Choroid Plexus,beta-Alanine,Feces,1
Fn3krp,Choroid Plexus,L-5-Oxoproline,Feces,1
Fn3krp,Choroid Plexus,Niacin,Feces,1
Fn3krp,Choroid Plexus,Phenol,Feces,1
Fn3krp,Choroid Plexus,Syringaldehyde,Feces,1
Fn3krp,Choroid Plexus,Urea,Feces,1
Gm15408,Choroid Plexus,2-Ethylhexanoic acid,Feces,1
Cspg5,Choroid Plexus,2-Ethylhexanoic acid,Feces,-1
Ibtk,Choroid Plexus,2-Ethylhexanoic acid,Feces,1
Cep41,Choroid Plexus,2-Ethylhexanoic acid,Feces,1
Wapl,Choroid Plexus,2-Ethylhexanoic acid,Feces,1
Apc2,Choroid Plexus,2-Ethylhexanoic acid,Feces,-1
Wasl,Choroid Plexus,2-Ethylhexanoic acid,Feces,1
Stk26,Choroid Plexus,2-Ethylhexanoic acid,Feces,1
Gnas,Choroid Plexus,2-Ethylhexanoic acid,Feces,1
Wbp4,Choroid Plexus,2-Ethylhexanoic acid,Feces,1
Nsmf,Choroid Plexus,2-Ethylhexanoic acid,Feces,-1
Fgfr1op2,Choroid Plexus,2-Ethylhexanoic acid,Feces,1
Aasdhppt,Choroid Plexus,2-Ethylhexanoic acid,Feces,1
Qser1,Choroid Plexus,2-Ethylhexanoic acid,Feces,1
Stag2,Choroid Plexus,2-Ethylhexanoic acid,Feces,1
Smim10l1,Choroid Plexus,pyrazole,Feces,1
Gnas,Choroid Plexus,pyrazole,Feces,1
H1f10,Choroid Plexus,pyrazole,Feces,-1
Clec14a,Choroid Plexus,pyrazole,Feces,1
Serp2,Choroid Plexus,pyrazole,Feces,-1
Ric3,Choroid Plexus,pyrazole,Feces,1
Rpp30,Choroid Plexus,pyrazole,Feces,1
Ibtk,Choroid Plexus,beta-Alanine,Feces,1
Ctdspl2,Choroid Plexus,beta-Alanine,Feces,1
Lmtk3,Choroid Plexus,beta-Alanine,Feces,-1
Cdkn1c,Choroid Plexus,beta-Alanine,Feces,1
Gm6548,Choroid Plexus,beta-Alanine,Feces,1
Slc6a13,Choroid Plexus,beta-Alanine,Feces,-1
Pi4ka,Choroid Plexus,beta-Alanine,Feces,-1
Pbx1,Choroid Plexus,beta-Alanine,Feces,1
Cerox1,Choroid Plexus,beta-Alanine,Feces,-1
Vps13b,Choroid Plexus,beta-Alanine,Feces,1
Lrrc8c,Choroid Plexus,beta-Alanine,Feces,1
Nsmf,Choroid Plexus,beta-Alanine,Feces,-1
Dnajc13,Choroid Plexus,beta-Alanine,Feces,1
Upf2,Choroid Plexus,beta-Alanine,Feces,1
Ibtk,Choroid Plexus,L-5-Oxoproline,Feces,1
Ap3b1,Choroid Plexus,L-5-Oxoproline,Feces,1
Rhob,Choroid Plexus,L-5-Oxoproline,Feces,-1
Irak1bp1,Choroid Plexus,L-5-Oxoproline,Feces,1
Cnih2,Choroid Plexus,L-5-Oxoproline,Feces,-1
Slc25a20,Choroid Plexus,L-5-Oxoproline,Feces,1
Stag2,Choroid Plexus,L-5-Oxoproline,Feces,1
Map3k5,Choroid Plexus,L-5-Oxoproline,Feces,1
Serbp1,Choroid Plexus,Phenol,Feces,1
Hdac9,Choroid Plexus,Phenol,Feces,-1
Ibtk,Choroid Plexus,Phenol,Feces,1
Birc2,Choroid Plexus,Phenol,Feces,1
Prpf6,Choroid Plexus,Phenol,Feces,1
Rufy3,Choroid Plexus,Phenol,Feces,-1
Ap3b1,Choroid Plexus,Phenol,Feces,1
Wasl,Choroid Plexus,Phenol,Feces,1
H1f10,Choroid Plexus,Phenol,Feces,-1
Chi3l1,Choroid Plexus,Phenol,Feces,1
Luzp1,Choroid Plexus,Phenol,Feces,1
Slc35a3,Choroid Plexus,Phenol,Feces,1
Bcl2l12,Choroid Plexus,Phenol,Feces,1
Dcaf12l1,Choroid Plexus,Phenol,Feces,1
Kmt5b,Choroid Plexus,Phenol,Feces,1
Ibtk,Choroid Plexus,Syringaldehyde,Feces,1
Dynlt2b,Choroid Plexus,Syringaldehyde,Feces,1
Smim10l1,Choroid Plexus,Syringaldehyde,Feces,1
Ptger1,Choroid Plexus,Syringaldehyde,Feces,1
Ap3b1,Choroid Plexus,Syringaldehyde,Feces,1
Gnas,Choroid Plexus,Syringaldehyde,Feces,1
Ahcyl2,Choroid Plexus,Syringaldehyde,Feces,1
mt-Tv,Choroid Plexus,Syringaldehyde,Feces,-1
mt-Tl1,Choroid Plexus,Syringaldehyde,Feces,-1
Tm9sf3,Choroid Plexus,Syringaldehyde,Feces,1
Stag2,Choroid Plexus,Syringaldehyde,Feces,1
Gsta4,Choroid Plexus,Syringaldehyde,Feces,1
Ibtk,Choroid Plexus,Urea,Feces,1
Mtap,Choroid Plexus,Urea,Feces,1
Ubl3,Choroid Plexus,Urea,Feces,1
Cdkn1c,Choroid Plexus,Urea,Feces,1
Wapl,Choroid Plexus,Urea,Feces,1
Prxl2c,Choroid Plexus,Urea,Feces,1
Smim10l1,Choroid Plexus,Urea,Feces,1
Eef1a1,Choroid Plexus,Urea,Feces,1
Zfp322a,Choroid Plexus,Urea,Feces,1
Iqgap2,Choroid Plexus,Urea,Feces,1
Pbx1,Choroid Plexus,Urea,Feces,1
Wbp4,Choroid Plexus,Urea,Feces,1
Ahcyl2,Choroid Plexus,Urea,Feces,1
Evi5,Choroid Plexus,Urea,Feces,1
Lrrc8c,Choroid Plexus,Urea,Feces,1
Serp2,Choroid Plexus,Urea,Feces,-1
Fgfr1op2,Choroid Plexus,Urea,Feces,1
Ric3,Choroid Plexus,Urea,Feces,1
Sin3a,Choroid Plexus,Urea,Feces,1
Mpp7,Choroid Plexus,Urea,Feces,1
Sytl2,Choroid Plexus,Urea,Feces,1
Kpna3,Choroid Plexus,Urea,Feces,1
Tm9sf3,Choroid Plexus,Urea,Feces,1
Stag2,Choroid Plexus,Urea,Feces,1
Smarca5,Choroid Plexus,Urea,Feces,1
Slain2,Choroid Plexus,Urea,Feces,1
Serbp1,Choroid Plexus,1-Dodecanol,Feces,1
Serbp1,Choroid Plexus,Benzoic Acid,Feces,1
Serbp1,Choroid Plexus,D-Allofuranose,Feces,1
Sec62,Choroid Plexus,1-Dodecanol,Feces,1
Wasl,Choroid Plexus,1-Dodecanol,Feces,1
Chd5,Choroid Plexus,1-Dodecanol,Feces,-1
Slc35a3,Choroid Plexus,1-Dodecanol,Feces,1
Kmt5b,Choroid Plexus,1-Dodecanol,Feces,1
Pura,Choroid Plexus,Benzoic Acid,Feces,1
Zbtb7a,Choroid Plexus,Benzoic Acid,Feces,1
Sec62,Choroid Plexus,Benzoic Acid,Feces,1
Nkapd1,Choroid Plexus,Benzoic Acid,Feces,1
Lrrc8c,Choroid Plexus,Benzoic Acid,Feces,1
Ric3,Choroid Plexus,Benzoic Acid,Feces,1
Pura,Choroid Plexus,D-Allofuranose,Feces,1
Sec62,Choroid Plexus,D-Allofuranose,Feces,1
Slc35a3,Choroid Plexus,D-Allofuranose,Feces,1
Fsbp,Choroid Plexus,L-Valyl-L-leucine,Feces,1
Dynlt2b,Choroid Plexus,L-Valyl-L-leucine,Feces,-1
Osbp,Choroid Plexus,L-Valyl-L-leucine,Feces,-1
Prxl2c,Choroid Plexus,L-Valyl-L-leucine,Feces,-1
Sc5d,Choroid Plexus,L-Valyl-L-leucine,Feces,-1
Recql5,Choroid Plexus,L-Valyl-L-leucine,Feces,1
Gm25517,Choroid Plexus,L-Valyl-L-leucine,Feces,-1
Serp2,Choroid Plexus,L-Valyl-L-leucine,Feces,1
Sox13,Choroid Plexus,L-Valyl-L-leucine,Feces,-1
Dnase1l1,Choroid Plexus,L-Valyl-L-leucine,Feces,-1
H2az2,Choroid Plexus,Azelaic acid,Feces,1
H2az2,Choroid Plexus,l-Leucyl-l-valine,Feces,1
Lmtk3,Choroid Plexus,2-Piperidinone,Feces,-1
Cdkn1c,Choroid Plexus,2-Piperidinone,Feces,1
Gnas,Choroid Plexus,2-Piperidinone,Feces,1
Zfp383,Choroid Plexus,2-Piperidinone,Feces,1
Gm15083,Choroid Plexus,2-Piperidinone,Feces,1
Wbp4,Choroid Plexus,2-Piperidinone,Feces,1
Vps13b,Choroid Plexus,2-Piperidinone,Feces,1
5430402O13Rik,Choroid Plexus,2-Piperidinone,Feces,1
Col8a1,Choroid Plexus,2-Piperidinone,Feces,1
Nsmf,Choroid Plexus,2-Piperidinone,Feces,-1
Dcaf12l1,Choroid Plexus,2-Piperidinone,Feces,1
Tm9sf3,Choroid Plexus,2-Piperidinone,Feces,1
Acox1,Choroid Plexus,l-Leucyl-l-valine,Feces,1
Grcc10,Choroid Plexus,l-Leucyl-l-valine,Feces,1
Uqcc5,Choroid Plexus,l-Leucyl-l-valine,Feces,1
Zfp27,Choroid Plexus,l-Leucyl-l-valine,Feces,1
Poglut1,Choroid Plexus,"1,4-Butanediol",Feces,1
Usp9x,Choroid Plexus,"1,4-Butanediol",Feces,-1
Ap3b1,Choroid Plexus,"1,4-Butanediol",Feces,-1
Wasl,Choroid Plexus,"1,4-Butanediol",Feces,-1
Tulp4,Choroid Plexus,"1,4-Butanediol",Feces,-1
Jph1,Choroid Plexus,"1,4-Butanediol",Feces,-1
Dhx36,Choroid Plexus,"1,4-Butanediol",Feces,-1
Camk1d,Choroid Plexus,"1,4-Butanediol",Feces,-1
Wdr38,Choroid Plexus,3-Buten-2-one,Feces,1
Kpna4,Choroid Plexus,3-Buten-2-one,Feces,-1
Gm42636,Choroid Plexus,3-Buten-2-one,Feces,-1
Kcmf1,Choroid Plexus,3-Buten-2-one,Feces,-1
Pak2,Choroid Plexus,D-Ribose,Feces,1
