Node 1 Name,Node 1 Tissue,Node 2 Name,Node 2 Tissue,edge_dir
Baiap2l1,Choroid Plexus,D-Ribose,Feces,1
Psma4,Choroid Plexus,D-Ribose,Feces,1
Ccdc148,Choroid Plexus,D-Ribose,Feces,1
Csnk1a1,Choroid Plexus,D-Ribose,Feces,1
Evi5,Choroid Plexus,D-Ribose,Feces,1
Ofd1,Choroid Plexus,D-Ribose,Feces,1
Rpn2,Choroid Plexus,D-(-)-Ribofuranose,Feces,1
Gm43339,Choroid Plexus,1-Tetradecanol,Feces,1
Gm43339,Choroid Plexus,Pyrogallol,Feces,1
Gm43339,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,1
Hdac9,Choroid Plexus,1-Tetradecanol,Feces,-1
Birc2,Choroid Plexus,1-Tetradecanol,Feces,1
Cmtm8,Choroid Plexus,1-Tetradecanol,Feces,1
Tmem204,Choroid Plexus,1-Tetradecanol,Feces,1
Samd14,Choroid Plexus,1-Tetradecanol,Feces,-1
H1f10,Choroid Plexus,1-Tetradecanol,Feces,-1
5330425B07Rik,Choroid Plexus,1-Tetradecanol,Feces,1
Chd5,Choroid Plexus,1-Tetradecanol,Feces,-1
Slc35a3,Choroid Plexus,1-Tetradecanol,Feces,1
Sytl2,Choroid Plexus,1-Tetradecanol,Feces,1
Klf8,Choroid Plexus,1-Tetradecanol,Feces,-1
Ibtk,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,1
Psma4,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,1
Ccdc59,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,1
Wapl,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,1
Smim10l1,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,1
Limch1,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,1
Wasl,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,1
Ergic2,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,1
Bcat1,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,-1
Samd14,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,-1
Csnk1a1,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,1
Wbp4,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,1
Evi5,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,1
Fgfr1op2,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,1
Sin3a,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,1
Mpp7,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,1
Zfp1007,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,1
Kpna3,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,1
Gsta4,Choroid Plexus,Tripropylene glycol monomethyl ether,Feces,1
Xpc,Choroid Plexus,Supraene,Feces,-1
Gm15675,Choroid Plexus,Supraene,Feces,-1
Cmtm8,Choroid Plexus,6-Hydroxyhexanoic acid,Feces,1
Atp5mg,Choroid Plexus,6-Hydroxyhexanoic acid,Feces,1
2310014F06Rik,Choroid Plexus,6-Hydroxyhexanoic acid,Feces,1
Kmt5b,Choroid Plexus,6-Hydroxyhexanoic acid,Feces,1
Hmga1,Choroid Plexus,Pentadecanoic acid,Feces,-1
Slc11a2,Choroid Plexus,Octanoic acid,Feces,1
Gpaa1,Choroid Plexus,Octanoic acid,Feces,1
Mfge8,Choroid Plexus,Octanoic acid,Feces,1
Atp7a,Choroid Plexus,Octanoic acid,Feces,1
Prpf6,Choroid Plexus,Pentadecanoic acid,Feces,1
Sec62,Choroid Plexus,Pentadecanoic acid,Feces,1
Ifi30,Choroid Plexus,Pentadecanoic acid,Feces,1
Ankrd12,Choroid Plexus,11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,Feces,1
Zfp322a,Choroid Plexus,11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,Feces,1
Ildr2,Choroid Plexus,11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,Feces,1
Dnajc13,Choroid Plexus,11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,Feces,1
Ric3,Choroid Plexus,11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,Feces,1
Ppfibp1,Choroid Plexus,11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,Feces,1
Tmem204,Choroid Plexus,"2,3-Butanediol",Feces,1
Apc2,Choroid Plexus,"2,3-Butanediol",Feces,-1
Bcat1,Choroid Plexus,"2,3-Butanediol",Feces,-1
Samd14,Choroid Plexus,"2,3-Butanediol",Feces,-1
H1f10,Choroid Plexus,"2,3-Butanediol",Feces,-1
Sh3bgrl2,Choroid Plexus,"2,3-Butanediol",Feces,1
Mpp7,Choroid Plexus,"2,3-Butanediol",Feces,1
Ube3c,Choroid Plexus,"2,3-Butanediol",Feces,1
Klf8,Choroid Plexus,"2,3-Butanediol",Feces,-1
Ddit4,Choroid Plexus,L-Glutamic acid,Feces,-1
Ibtk,Choroid Plexus,L-Glutamic acid,Feces,1
Rhob,Choroid Plexus,L-Glutamic acid,Feces,-1
Rai14,Choroid Plexus,L-Rhamnose,Feces,1
Tmem204,Choroid Plexus,L-Rhamnose,Feces,1
Actr3,Choroid Plexus,L-Rhamnose,Feces,1
Rbm20,Choroid Plexus,L-Rhamnose,Feces,1
Atp5mg,Choroid Plexus,L-Rhamnose,Feces,1
Hook2,Choroid Plexus,L-Rhamnose,Feces,1
Suclg2,Choroid Plexus,L-Rhamnose,Feces,1
St8sia2,Choroid Plexus,L-Rhamnose,Feces,-1
Gm38037,Choroid Plexus,"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",Feces,1
Hdac9,Choroid Plexus,alpha-Linolenic acid,Feces,-1
Hdac9,Choroid Plexus,Monomethyl succinate,Feces,-1
Hdac9,Choroid Plexus,N-(2-hydroxyethyl)-succinimide,Feces,-1
Zbtb7a,Choroid Plexus,alpha-Linolenic acid,Feces,1
Cdc14a,Choroid Plexus,alpha-Linolenic acid,Feces,1
Secisbp2l,Choroid Plexus,alpha-Linolenic acid,Feces,1
Lrp6,Choroid Plexus,alpha-Linolenic acid,Feces,1
Cmtm8,Choroid Plexus,Monomethyl succinate,Feces,1
Rufy3,Choroid Plexus,Monomethyl succinate,Feces,-1
Casp8,Choroid Plexus,Monomethyl succinate,Feces,1
Ildr2,Choroid Plexus,Monomethyl succinate,Feces,1
Chi3l1,Choroid Plexus,Monomethyl succinate,Feces,1
Col8a1,Choroid Plexus,Monomethyl succinate,Feces,1
Sh3bgrl2,Choroid Plexus,Monomethyl succinate,Feces,1
Slc35a3,Choroid Plexus,Monomethyl succinate,Feces,1
Lrp6,Choroid Plexus,Monomethyl succinate,Feces,1
Leprotl1,Choroid Plexus,Monomethyl succinate,Feces,1
Ube3c,Choroid Plexus,Monomethyl succinate,Feces,1
Stxbp4,Choroid Plexus,Monomethyl succinate,Feces,1
Klf8,Choroid Plexus,Monomethyl succinate,Feces,-1
Por,Choroid Plexus,N-(2-hydroxyethyl)-succinimide,Feces,1
Agbl3,Choroid Plexus,N-(2-hydroxyethyl)-succinimide,Feces,1
Maco1,Choroid Plexus,N-(2-hydroxyethyl)-succinimide,Feces,1
Rufy3,Choroid Plexus,N-(2-hydroxyethyl)-succinimide,Feces,-1
Pomgnt1,Choroid Plexus,N-(2-hydroxyethyl)-succinimide,Feces,1
Zfp383,Choroid Plexus,N-(2-hydroxyethyl)-succinimide,Feces,1
Col8a1,Choroid Plexus,N-(2-hydroxyethyl)-succinimide,Feces,1
Slc35a3,Choroid Plexus,N-(2-hydroxyethyl)-succinimide,Feces,1
Lrp6,Choroid Plexus,N-(2-hydroxyethyl)-succinimide,Feces,1
Mpp7,Choroid Plexus,N-(2-hydroxyethyl)-succinimide,Feces,1
Stxbp4,Choroid Plexus,N-(2-hydroxyethyl)-succinimide,Feces,1
Gm15408,Choroid Plexus,Cyclohexanecarboxylic acid,Feces,1
Pcgf5,Choroid Plexus,Cyclohexanecarboxylic acid,Feces,1
Ess2,Choroid Plexus,Cyclohexanecarboxylic acid,Feces,1
Fchsd2,Choroid Plexus,Cyclohexanecarboxylic acid,Feces,1
Heatr3,Choroid Plexus,Cyclohexanecarboxylic acid,Feces,1
Abitram,Choroid Plexus,Cyclohexanecarboxylic acid,Feces,-1
Galnt15,Choroid Plexus,Glyceric acid,Feces,1
Col9a2,Choroid Plexus,Glyceric acid,Feces,1
Nod1,Choroid Plexus,Glyceric acid,Feces,1
Por,Choroid Plexus,D-Psicofuranose,Feces,-1
Rpl18a,Choroid Plexus,"D-(+)-Ribono-1,4-lactone ",Feces,1
Rpl18a,Choroid Plexus,Hymexazole,Feces,1
Map3k8,Choroid Plexus,"D-(+)-Ribono-1,4-lactone ",Feces,1
Dynlt2b,Choroid Plexus,"D-(+)-Ribono-1,4-lactone ",Feces,1
Cmtm8,Choroid Plexus,Hymexazole,Feces,1
Dync2li1,Choroid Plexus,Hymexazole,Feces,1
Actr3,Choroid Plexus,Hymexazole,Feces,1
Rlbp1,Choroid Plexus,Hymexazole,Feces,1
Vasp,Choroid Plexus,Hymexazole,Feces,1
Grpel1,Choroid Plexus,Thr-Leu,Feces,1
Alkbh6,Choroid Plexus,Thr-Leu,Feces,1
Cspg5,Choroid Plexus,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",Feces,-1
Arhgef12,Choroid Plexus,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",Feces,1
Zfp638,Choroid Plexus,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",Feces,1
Wapl,Choroid Plexus,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",Feces,1
Gm14798,Choroid Plexus,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",Feces,-1
Gsk3b,Choroid Plexus,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",Feces,1
Acad9,Choroid Plexus,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",Feces,-1
Phactr2,Choroid Plexus,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",Feces,1
Gtpbp4,Choroid Plexus,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",Feces,1
Klc1,Choroid Plexus,Deoxyribopyranose,Feces,1
Gm6548,Choroid Plexus,Deoxyribopyranose,Feces,-1
Rufy3,Choroid Plexus,Deoxyribopyranose,Feces,1
Magix,Choroid Plexus,Deoxyribopyranose,Feces,-1
Asb16,Choroid Plexus,Deoxyribopyranose,Feces,-1
Klhl18,Choroid Plexus,Deoxyribopyranose,Feces,1
Eif3l,Choroid Plexus,Deoxyribopyranose,Feces,-1
Kcnk5,Choroid Plexus,"2',2,3,6'-Tetramethoxychalcone",Feces,-1
Cox18,Choroid Plexus,"2',2,3,6'-Tetramethoxychalcone",Feces,1
Zhx1,Choroid Plexus,"2',2,3,6'-Tetramethoxychalcone",Feces,-1
Cebpd,Choroid Plexus,"2',2,3,6'-Tetramethoxychalcone",Feces,1
Twsg1,Choroid Plexus,"2',2,3,6'-Tetramethoxychalcone",Feces,1
Repin1,Choroid Plexus,D-(+)-Talofuranose,Feces,1
Ibtk,Choroid Plexus,9H-Purin-6-ol,Feces,1
Ibtk,Choroid Plexus,"cis-4,5-Dihydroxy-o-dithiane",Feces,1
Ibtk,Choroid Plexus,D-(+)-Glucosamine,Feces,1
Ibtk,Choroid Plexus,Hydracrylic acid,Feces,1
Ibtk,Choroid Plexus,L-Threonine,Feces,1
Ibtk,Choroid Plexus,"N-Acetyl-D-galactosamine, (R,R,R,R)",Feces,1
Ibtk,Choroid Plexus,N-Acetyl-L-glutamic acid,Feces,1
Ibtk,Choroid Plexus,Salsoline,Feces,1
Ibtk,Choroid Plexus,Undecanoic acid,Feces,1
Ibtk,Choroid Plexus,Uracil,Feces,1
Srebf2,Choroid Plexus,9H-Purin-6-ol,Feces,-1
Rhob,Choroid Plexus,9H-Purin-6-ol,Feces,-1
Tmem229b,Choroid Plexus,9H-Purin-6-ol,Feces,-1
Stag2,Choroid Plexus,9H-Purin-6-ol,Feces,1
Phactr2,Choroid Plexus,9H-Purin-6-ol,Feces,1
Ncbp2,Choroid Plexus,9H-Purin-6-ol,Feces,1
Mtap,Choroid Plexus,"cis-4,5-Dihydroxy-o-dithiane",Feces,1
Dync2li1,Choroid Plexus,"cis-4,5-Dihydroxy-o-dithiane",Feces,1
Cep41,Choroid Plexus,"cis-4,5-Dihydroxy-o-dithiane",Feces,1
Actr3,Choroid Plexus,"cis-4,5-Dihydroxy-o-dithiane",Feces,1
Cdkn1c,Choroid Plexus,"cis-4,5-Dihydroxy-o-dithiane",Feces,1
Atp5mg,Choroid Plexus,"cis-4,5-Dihydroxy-o-dithiane",Feces,1
Ap3b1,Choroid Plexus,"cis-4,5-Dihydroxy-o-dithiane",Feces,1
Wbp4,Choroid Plexus,"cis-4,5-Dihydroxy-o-dithiane",Feces,1
Setx,Choroid Plexus,"cis-4,5-Dihydroxy-o-dithiane",Feces,1
Chi3l1,Choroid Plexus,"cis-4,5-Dihydroxy-o-dithiane",Feces,1
Hip1,Choroid Plexus,"cis-4,5-Dihydroxy-o-dithiane",Feces,1
Dcaf12l1,Choroid Plexus,"cis-4,5-Dihydroxy-o-dithiane",Feces,1
mt-Tl1,Choroid Plexus,"cis-4,5-Dihydroxy-o-dithiane",Feces,-1
Gsta4,Choroid Plexus,"cis-4,5-Dihydroxy-o-dithiane",Feces,1
Cep41,Choroid Plexus,D-(+)-Glucosamine,Feces,1
mt-Tl1,Choroid Plexus,D-(+)-Glucosamine,Feces,-1
Stag2,Choroid Plexus,D-(+)-Glucosamine,Feces,1
Pthlh,Choroid Plexus,D-(+)-Glucosamine,Feces,1
Serpinb8,Choroid Plexus,D-(+)-Glucosamine,Feces,1
Mtap,Choroid Plexus,Hydracrylic acid,Feces,1
Wapl,Choroid Plexus,Hydracrylic acid,Feces,1
Zfp322a,Choroid Plexus,Hydracrylic acid,Feces,1
Tmem229b,Choroid Plexus,Hydracrylic acid,Feces,-1
Erbin,Choroid Plexus,Hydracrylic acid,Feces,1
Stag2,Choroid Plexus,Hydracrylic acid,Feces,1
Phactr2,Choroid Plexus,Hydracrylic acid,Feces,1
Cdkn1c,Choroid Plexus,L-Threonine,Feces,1
Tceal8,Choroid Plexus,L-Threonine,Feces,1
Wapl,Choroid Plexus,"N-Acetyl-D-galactosamine, (R,R,R,R)",Feces,1
Prxl2c,Choroid Plexus,"N-Acetyl-D-galactosamine, (R,R,R,R)",Feces,1
Smim10l1,Choroid Plexus,"N-Acetyl-D-galactosamine, (R,R,R,R)",Feces,1
Stk26,Choroid Plexus,"N-Acetyl-D-galactosamine, (R,R,R,R)",Feces,1
Kcmf1,Choroid Plexus,"N-Acetyl-D-galactosamine, (R,R,R,R)",Feces,1
Setx,Choroid Plexus,"N-Acetyl-D-galactosamine, (R,R,R,R)",Feces,1
Evi5,Choroid Plexus,"N-Acetyl-D-galactosamine, (R,R,R,R)",Feces,1
Nsmf,Choroid Plexus,"N-Acetyl-D-galactosamine, (R,R,R,R)",Feces,-1
Aasdhppt,Choroid Plexus,"N-Acetyl-D-galactosamine, (R,R,R,R)",Feces,1
Erbin,Choroid Plexus,"N-Acetyl-D-galactosamine, (R,R,R,R)",Feces,1
Kpna3,Choroid Plexus,"N-Acetyl-D-galactosamine, (R,R,R,R)",Feces,1
Smarca5,Choroid Plexus,"N-Acetyl-D-galactosamine, (R,R,R,R)",Feces,1
Ano8,Choroid Plexus,N-Acetyl-L-glutamic acid,Feces,-1
Birc2,Choroid Plexus,Salsoline,Feces,1
Slk,Choroid Plexus,Salsoline,Feces,1
Rbm27,Choroid Plexus,Salsoline,Feces,1
Atp5mg,Choroid Plexus,Salsoline,Feces,1
Ildr2,Choroid Plexus,Salsoline,Feces,1
Chi3l1,Choroid Plexus,Salsoline,Feces,1
Serp2,Choroid Plexus,Salsoline,Feces,-1
Fundc2,Choroid Plexus,Salsoline,Feces,1
Meis2,Choroid Plexus,Salsoline,Feces,-1
Ric3,Choroid Plexus,Salsoline,Feces,1
mt-Tv,Choroid Plexus,Salsoline,Feces,-1
Sin3a,Choroid Plexus,Salsoline,Feces,1
Sytl2,Choroid Plexus,Salsoline,Feces,1
2310014F06Rik,Choroid Plexus,Salsoline,Feces,1
Slain2,Choroid Plexus,Salsoline,Feces,1
Slk,Choroid Plexus,Undecanoic acid,Feces,1
Zbtb37,Choroid Plexus,Undecanoic acid,Feces,1
H1f10,Choroid Plexus,Undecanoic acid,Feces,-1
Slc35a3,Choroid Plexus,Undecanoic acid,Feces,1
Cyyr1,Choroid Plexus,Uracil,Feces,1
Tmem229b,Choroid Plexus,Uracil,Feces,-1
Olfm2,Choroid Plexus,Uracil,Feces,-1
Kcmf1,Choroid Plexus,Uracil,Feces,1
mt-Tl1,Choroid Plexus,Uracil,Feces,-1
Stag2,Choroid Plexus,Uracil,Feces,1
Phactr2,Choroid Plexus,Uracil,Feces,1
Serpinb8,Choroid Plexus,Uracil,Feces,1
Fam13b,Choroid Plexus,5-Hydroxymethyl-2-furoic acid,Feces,1
Ctdspl2,Choroid Plexus,4-Hydroxybenzoic acid,Feces,1
Nfe2l2,Choroid Plexus,4-Hydroxybenzoic acid,Feces,1
Gpaa1,Choroid Plexus,4-Hydroxybenzoic acid,Feces,-1
Rhob,Choroid Plexus,4-Hydroxybenzoic acid,Feces,-1
Kcmf1,Choroid Plexus,4-Hydroxybenzoic acid,Feces,1
Setx,Choroid Plexus,4-Hydroxybenzoic acid,Feces,1
Stag2,Choroid Plexus,4-Hydroxybenzoic acid,Feces,1
Tceal8,Choroid Plexus,4-Hydroxybenzoic acid,Feces,1
Ppp1r12a,Choroid Plexus,Pyridoxic acid,Feces,1
Sppl3,Choroid Plexus,Pyridoxic acid,Feces,-1
Dctn2,Choroid Plexus,Cyclohexanol,Feces,1
Cmtm8,Choroid Plexus,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",Feces,1
Gm43568,Choroid Plexus,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",Feces,1
H1f10,Choroid Plexus,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",Feces,-1
5330425B07Rik,Choroid Plexus,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",Feces,1
Vasp,Choroid Plexus,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",Feces,1
Sin3a,Choroid Plexus,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",Feces,1
Usp22,Choroid Plexus,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",Feces,-1
Ube3c,Choroid Plexus,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",Feces,1
Klf8,Choroid Plexus,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",Feces,-1
Agbl3,Choroid Plexus,Hydroquinone,Feces,1
Atp5mg,Choroid Plexus,Hydroquinone,Feces,1
Pomgnt1,Choroid Plexus,Hydroquinone,Feces,1
Dcaf12l1,Choroid Plexus,Hydroquinone,Feces,1
Ncaph2,Choroid Plexus,Monolaurin,Feces,1
Slc29a4,Choroid Plexus,Monolaurin,Feces,1
Hlf,Choroid Plexus,Monolaurin,Feces,-1
Ubl3,Choroid Plexus,9-Octadecenamide,Feces,1
Gm25517,Choroid Plexus,9-Octadecenamide,Feces,1
G2e3,Choroid Plexus,9-Octadecenamide,Feces,-1
Serp2,Choroid Plexus,9-Octadecenamide,Feces,-1
Pdlim5,Choroid Plexus,Serine,Feces,1
Klf3,Choroid Plexus,Serine,Feces,1
Cdkn1c,Choroid Plexus,Serine,Feces,1
Smim10l1,Choroid Plexus,Serine,Feces,1
Zfp322a,Choroid Plexus,Serine,Feces,1
Iqgap2,Choroid Plexus,Serine,Feces,1
Pi4ka,Choroid Plexus,Serine,Feces,-1
Pbx1,Choroid Plexus,Serine,Feces,1
Vps13b,Choroid Plexus,Serine,Feces,1
Secisbp2l,Choroid Plexus,Serine,Feces,1
Ahcyl2,Choroid Plexus,Serine,Feces,1
Lrrc8c,Choroid Plexus,Serine,Feces,1
Nsmf,Choroid Plexus,Serine,Feces,-1
Ric3,Choroid Plexus,Serine,Feces,1
Cep290,Choroid Plexus,Serine,Feces,1
Gtpbp4,Choroid Plexus,Serine,Feces,1
Stxbp4,Choroid Plexus,Serine,Feces,1
Mia2,Choroid Plexus,Serine,Feces,1
Cast,Choroid Plexus,Picolinic acid,Feces,1
Cast,Choroid Plexus,Suberic acid,Feces,1
Ccdc148,Choroid Plexus,Picolinic acid,Feces,1
Casp8,Choroid Plexus,Picolinic acid,Feces,1
Zhx1,Choroid Plexus,Picolinic acid,Feces,1
Olfm2,Choroid Plexus,Picolinic acid,Feces,-1
Pbx1,Choroid Plexus,Picolinic acid,Feces,1
Ildr2,Choroid Plexus,Picolinic acid,Feces,1
Chi3l1,Choroid Plexus,Picolinic acid,Feces,1
Myof,Choroid Plexus,Picolinic acid,Feces,1
Serp2,Choroid Plexus,Picolinic acid,Feces,-1
Ric3,Choroid Plexus,Picolinic acid,Feces,1
mt-Tv,Choroid Plexus,Picolinic acid,Feces,-1
Osgepl1,Choroid Plexus,Picolinic acid,Feces,1
mt-Tl1,Choroid Plexus,Picolinic acid,Feces,-1
Dynlt2b,Choroid Plexus,Suberic acid,Feces,1
Serp2,Choroid Plexus,Suberic acid,Feces,-1
Osgepl1,Choroid Plexus,Suberic acid,Feces,1
Sh2b3,Choroid Plexus,Suberic acid,Feces,1
Ube3c,Choroid Plexus,Suberic acid,Feces,1
Stxbp4,Choroid Plexus,Suberic acid,Feces,1
Emd,Choroid Plexus,Xanthine,Feces,-1
Emd,Choroid Plexus,13-Docosenamide,Feces,-1
Sppl3,Choroid Plexus,Xanthine,Feces,-1
Aox3,Choroid Plexus,Xanthine,Feces,1
Gpsm3,Choroid Plexus,Xanthine,Feces,1
Ehd1,Choroid Plexus,Xanthine,Feces,-1
Aox3,Choroid Plexus,13-Docosenamide,Feces,1
Birc2,Choroid Plexus,4-Methyl-5-thiazoleethanol,Feces,1
Cmtm8,Choroid Plexus,4-Methyl-5-thiazoleethanol,Feces,1
Dync2li1,Choroid Plexus,4-Methyl-5-thiazoleethanol,Feces,1
Cep41,Choroid Plexus,4-Methyl-5-thiazoleethanol,Feces,1
Wapl,Choroid Plexus,4-Methyl-5-thiazoleethanol,Feces,1
Prxl2c,Choroid Plexus,4-Methyl-5-thiazoleethanol,Feces,1
Npas3,Choroid Plexus,4-Methyl-5-thiazoleethanol,Feces,-1
Sin3a,Choroid Plexus,4-Methyl-5-thiazoleethanol,Feces,1
Xaf1,Choroid Plexus,4-Methyl-5-thiazoleethanol,Feces,1
Stag2,Choroid Plexus,4-Methyl-5-thiazoleethanol,Feces,1
Usp9x,Choroid Plexus,1-Monopalmitin,Feces,-1
Enpp5,Choroid Plexus,1-Monopalmitin,Feces,1
Zfp27,Choroid Plexus,1-Monopalmitin,Feces,1
Nfe2l2,Choroid Plexus,L-Norvaline,Feces,1
Kcmf1,Choroid Plexus,L-Norvaline,Feces,1
Klhl18,Choroid Plexus,L-Norvaline,Feces,-1
Baiap2l1,Choroid Plexus,Pipecolic acid,Feces,1
Baiap2l1,Choroid Plexus,Pyrrole-2-carboxylic acid,Feces,1
Atp5mg,Choroid Plexus,Pipecolic acid,Feces,1
Pla2g3,Choroid Plexus,Pipecolic acid,Feces,-1
St8sia2,Choroid Plexus,Pipecolic acid,Feces,-1
