node1,node_l,node_dir_l,node2,node_m,,node_dir_m,,same_node,same_dir
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ","(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide",-1,"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ","(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide",Down,-1,,TRUE,TRUE
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-1,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Down,-1,,TRUE,TRUE
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-","(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-1,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-","(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",Down,-1,,TRUE,TRUE
(CH3)2C=NC2H558,(CH3)2C=NC2H558,1,(CH3)2C=NC2H558,(CH3)2C=NC2H558,Up,1,,TRUE,TRUE
(pm)-alpha-Tocopherol acetate,(pm)-alpha-Tocopherol acetate,-1,(pm)-alpha-Tocopherol acetate,(pm)-alpha-Tocopherol acetate,Down,-1,,TRUE,TRUE
(pm)-N-Propylamphetamine,(pm)-N-Propylamphetamine,1,(pm)-N-Propylamphetamine,(pm)-N-Propylamphetamine,Up,1,,TRUE,TRUE
(pm)-Norketamine,(pm)-Norketamine,1,(pm)-Norketamine,(pm)-Norketamine,Up,1,,TRUE,TRUE
(pm)-Phenylpropanolamine,(pm)-Phenylpropanolamine,1,(pm)-Phenylpropanolamine,(pm)-Phenylpropanolamine,Up,1,,TRUE,TRUE
"(R*,S*)-2,3-Dihydroxybutanoic acid","(R*,S*)-2,3-Dihydroxybutanoic acid",-1,"(R*,S*)-2,3-Dihydroxybutanoic acid","(R*,S*)-2,3-Dihydroxybutanoic acid",Down,-1,,TRUE,TRUE
"(S,S)-(-)-Hydrobenzoin","(S,S)-(-)-Hydrobenzoin",-1,"(S,S)-(-)-Hydrobenzoin","(S,S)-(-)-Hydrobenzoin",Down,-1,,TRUE,TRUE
1-(3-Methylphenyl)piperazine,1-(3-Methylphenyl)piperazine,-1,1-(3-Methylphenyl)piperazine,1-(3-Methylphenyl)piperazine,Down,-1,,TRUE,TRUE
1-(4-Hydroxybenzylidene)acetone,1-(4-Hydroxybenzylidene)acetone,-1,1-(4-Hydroxybenzylidene)acetone,1-(4-Hydroxybenzylidene)acetone,Down,-1,,TRUE,TRUE
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",-1,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",Down,-1,,TRUE,TRUE
1-Aminocyclopropanecarboxylic acid,1-Aminocyclopropanecarboxylic acid,-1,1-Aminocyclopropanecarboxylic acid,1-Aminocyclopropanecarboxylic acid,Down,-1,,TRUE,TRUE
"1-Butanamine, N,N-diethyl-","1-Butanamine, N,N-diethyl-",-1,"1-Butanamine, N,N-diethyl-","1-Butanamine, N,N-diethyl-",Down,-1,,TRUE,TRUE
1-Cyclopentylethanol,1-Cyclopentylethanol,-1,1-Cyclopentylethanol,1-Cyclopentylethanol,Down,-1,,TRUE,TRUE
"1-Decene, 8-methyl-","1-Decene, 8-methyl-",-1,"1-Decene, 8-methyl-","1-Decene, 8-methyl-",Down,-1,,TRUE,TRUE
1-Deoxypentitol,1-Deoxypentitol,-1,1-Deoxypentitol,1-Deoxypentitol,Down,-1,,TRUE,TRUE
1-Hexadecanol,1-Hexadecanol,1,1-Hexadecanol,1-Hexadecanol,Up,1,,TRUE,TRUE
1-Hexanol,1-Hexanol,1,1-Hexanol,1-Hexanol,Up,1,,TRUE,TRUE
1-Hydroxy-3-methoxy-6-methylanthraquinone,1-Hydroxy-3-methoxy-6-methylanthraquinone,1,1-Hydroxy-3-methoxy-6-methylanthraquinone,1-Hydroxy-3-methoxy-6-methylanthraquinone,Up,1,,TRUE,TRUE
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine","1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",-1,"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine","1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",Down,-1,,TRUE,TRUE
1-Monoacetin,1-Monoacetin,-1,1-Monoacetin,1-Monoacetin,Down,-1,,TRUE,TRUE
1-Octanol,1-Octanol,-1,1-Octanol,1-Octanol,Down,-1,,TRUE,TRUE
"1-Octanol, 2-butyl-","1-Octanol, 2-butyl-",1,"1-Octanol, 2-butyl-","1-Octanol, 2-butyl-",Up,1,,TRUE,TRUE
"1-Octene, 2-methyl-","1-Octene, 2-methyl-",-1,"1-Octene, 2-methyl-","1-Octene, 2-methyl-",Down,-1,,TRUE,TRUE
1-Phenethylamine,1-Phenethylamine,-1,1-Phenethylamine,1-Phenethylamine,Down,-1,,TRUE,TRUE
"1-Phenyl-1,2-ethanediol","1-Phenyl-1,2-ethanediol",-1,"1-Phenyl-1,2-ethanediol","1-Phenyl-1,2-ethanediol",Down,-1,,TRUE,TRUE
1-Phenylethanol,1-Phenylethanol,1,1-Phenylethanol,1-Phenylethanol,Up,1,,TRUE,TRUE
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-","1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",1,"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-","1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",Up,1,,TRUE,TRUE
1-Tetradecanol,1-Tetradecanol,-1,1-Tetradecanol,1-Tetradecanol,Down,-1,,TRUE,TRUE
"1,1'-Biphenyl, 3,4-diethyl-","1,1'-Biphenyl, 3,4-diethyl-",-1,"1,1'-Biphenyl, 3,4-diethyl-","1,1'-Biphenyl, 3,4-diethyl-",Down,-1,,TRUE,TRUE
"1,2-Benzenedicarboxylic acid","1,2-Benzenedicarboxylic acid",1,"1,2-Benzenedicarboxylic acid","1,2-Benzenedicarboxylic acid",Up,1,,TRUE,TRUE
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-","1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",-1,"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-","1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",Down,-1,,TRUE,TRUE
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene","1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",-1,"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene","1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",Down,-1,,TRUE,TRUE
"1,3-bis[(Trimethylsilyl)ethynyl]benzene","1,3-bis[(Trimethylsilyl)ethynyl]benzene",-1,"1,3-bis[(Trimethylsilyl)ethynyl]benzene","1,3-bis[(Trimethylsilyl)ethynyl]benzene",Down,-1,,TRUE,TRUE
"1,3-Cyclohexanebis(methylamine)","1,3-Cyclohexanebis(methylamine)",-1,"1,3-Cyclohexanebis(methylamine)","1,3-Cyclohexanebis(methylamine)",Down,-1,,TRUE,TRUE
"1,3-Dioxane-4-methanol, 4,5-dimethyl-","1,3-Dioxane-4-methanol, 4,5-dimethyl-",-1,"1,3-Dioxane-4-methanol, 4,5-dimethyl-","1,3-Dioxane-4-methanol, 4,5-dimethyl-",Down,-1,,TRUE,TRUE
"1,3,5-Benzetriol","1,3,5-Benzetriol",-1,"1,3,5-Benzetriol","1,3,5-Benzetriol",Down,-1,,TRUE,TRUE
"1,3,5-Trimethyl-1H-pyrazol-4-amine","1,3,5-Trimethyl-1H-pyrazol-4-amine",-1,"1,3,5-Trimethyl-1H-pyrazol-4-amine","1,3,5-Trimethyl-1H-pyrazol-4-amine",Down,-1,,TRUE,TRUE
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ","1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl",1,"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ","1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl",Up,1,,TRUE,TRUE
"1,5-Anhydroglucitol","1,5-Anhydroglucitol",1,"1,5-Anhydroglucitol","1,5-Anhydroglucitol",Up,1,,TRUE,TRUE
10-Heptadecenoic acid,10-Heptadecenoic acid,-1,10-Heptadecenoic acid,10-Heptadecenoic acid,Down,-1,,TRUE,TRUE
12-Hydroxyoctadecanoic acid,12-Hydroxyoctadecanoic acid,-1,12-Hydroxyoctadecanoic acid,12-Hydroxyoctadecanoic acid,Down,-1,,TRUE,TRUE
12-Oxooctadecanoate,12-Oxooctadecanoate,-1,12-Oxooctadecanoate,12-Oxooctadecanoate,Down,-1,,TRUE,TRUE
13-Docosenamide,13-Docosenamide,1,13-Docosenamide,13-Docosenamide,Up,1,,TRUE,TRUE
"15-Oxo-11Z,13E-eicosadienoic acid","15-Oxo-11Z,13E-eicosadienoic acid",-1,"15-Oxo-11Z,13E-eicosadienoic acid","15-Oxo-11Z,13E-eicosadienoic acid",Down,-1,,TRUE,TRUE
"1H-Pyrazole, 3,4-bis(trimethylsilyl)-","1H-Pyrazole, 3,4-bis(trimethylsilyl)-",-1,"1H-Pyrazole, 3,4-bis(trimethylsilyl)-","1H-Pyrazole, 3,4-bis(trimethylsilyl)-",Down,-1,,TRUE,TRUE
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde","2-(2,5-Dimethoxy-phenyl)-propionaldehyde",1,"2-(2,5-Dimethoxy-phenyl)-propionaldehyde","2-(2,5-Dimethoxy-phenyl)-propionaldehyde",Up,1,,TRUE,TRUE
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate","2-(Decanoyloxy)propane-1,3-diyl dioctanoate",-1,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate","2-(Decanoyloxy)propane-1,3-diyl dioctanoate",Down,-1,,TRUE,TRUE
"2-Acetyl-3-(1-methyl-2-pyrrolyl)-1,4-benzenediol","2-Acetyl-3-(1-methyl-2-pyrrolyl)-1,4-benzenediol",1,"2-Acetyl-3-(1-methyl-2-pyrrolyl)-1,4-benzenediol","2-Acetyl-3-(1-methyl-2-pyrrolyl)-1,4-benzenediol",Up,1,,TRUE,TRUE
2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,-1,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,Down,-1,,TRUE,TRUE
"2-Allyl-1,4-dimethoxybenzene","2-Allyl-1,4-dimethoxybenzene",-1,"2-Allyl-1,4-dimethoxybenzene","2-Allyl-1,4-dimethoxybenzene",Down,-1,,TRUE,TRUE
2-Amino-4-methylphenol,2-Amino-4-methylphenol,-1,2-Amino-4-methylphenol,2-Amino-4-methylphenol,Down,-1,,TRUE,TRUE
"2-Amino-4,6-dihydroxypyrimidine","2-Amino-4,6-dihydroxypyrimidine",1,"2-Amino-4,6-dihydroxypyrimidine","2-Amino-4,6-dihydroxypyrimidine",Up,1,,TRUE,TRUE
2-Aminoadipic acid,2-Aminoadipic acid,-1,2-Aminoadipic acid,2-Aminoadipic acid,Down,-1,,TRUE,TRUE
2-Aminobutanoic acid,2-Aminobutanoic acid,1,2-Aminobutanoic acid,2-Aminobutanoic acid,Up,1,,TRUE,TRUE
2-Ethyl-3-hydroxypropionic acid,2-Ethyl-3-hydroxypropionic acid,-1,2-Ethyl-3-hydroxypropionic acid,2-Ethyl-3-hydroxypropionic acid,Down,-1,,TRUE,TRUE
2-Furoic acid,2-Furoic acid,-1,2-Furoic acid,2-Furoic acid,Down,-1,,TRUE,TRUE
"2-Heptanone, 4,6-dimethyl-","2-Heptanone, 4,6-dimethyl-",-1,"2-Heptanone, 4,6-dimethyl-","2-Heptanone, 4,6-dimethyl-",Down,-1,,TRUE,TRUE
2-Heptenoic acid,2-Heptenoic acid,-1,2-Heptenoic acid,2-Heptenoic acid,Down,-1,,TRUE,TRUE
2-Hexen-1-ol,2-Hexen-1-ol,-1,2-Hexen-1-ol,2-Hexen-1-ol,Down,-1,,TRUE,TRUE
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-","2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",-1,"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-","2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",Down,-1,,TRUE,TRUE
2-Hydroxy-2-methylbutyric acid,2-Hydroxy-2-methylbutyric acid,-1,2-Hydroxy-2-methylbutyric acid,2-Hydroxy-2-methylbutyric acid,Down,-1,,TRUE,TRUE
2-Hydroxy-3-methylbutyric acid,2-Hydroxy-3-methylbutyric acid,-1,2-Hydroxy-3-methylbutyric acid,2-Hydroxy-3-methylbutyric acid,Down,-1,,TRUE,TRUE
2-Hydroxy-5-methoxybenzaldehyde,2-Hydroxy-5-methoxybenzaldehyde,1,2-Hydroxy-5-methoxybenzaldehyde,2-Hydroxy-5-methoxybenzaldehyde,Up,1,,TRUE,TRUE
2-Hydroxybutyric acid,2-Hydroxybutyric acid,1,2-Hydroxybutyric acid,2-Hydroxybutyric acid,Up,1,,TRUE,TRUE
2-Isopropyl-5-methyl-1-heptanol ,2-Isopropyl-5-methyl-1-heptanol,-1,2-Isopropyl-5-methyl-1-heptanol,2-Isopropyl-5-methyl-1-heptanol,Down,-1,,TRUE,TRUE
2-Ketoisocaproic acid,2-Ketoisocaproic acid,1,2-Ketoisocaproic acid,2-Ketoisocaproic acid,Up,1,,TRUE,TRUE
2-Methyl-4-pentenoic acid,2-Methyl-4-pentenoic acid,-1,2-Methyl-4-pentenoic acid,2-Methyl-4-pentenoic acid,Down,-1,,TRUE,TRUE
2-Methylglutaconic acid,2-Methylglutaconic acid,-1,2-Methylglutaconic acid,2-Methylglutaconic acid,Down,-1,,TRUE,TRUE
2-Naphthol,2-Naphthol,-1,2-Naphthol,2-Naphthol,Down,-1,,TRUE,TRUE
2-Pentenoic acid,2-Pentenoic acid,-1,2-Pentenoic acid,2-Pentenoic acid,Down,-1,,TRUE,TRUE
"2-Propanone, bis(1-methylethyl)hydrazone","2-Propanone, bis(1-methylethyl)hydrazone",-1,"2-Propanone, bis(1-methylethyl)hydrazone","2-Propanone, bis(1-methylethyl)hydrazone",Down,-1,,TRUE,TRUE
"2-Propenamide, 3-phenyl-N-2-propenyl-","2-Propenamide, 3-phenyl-N-2-propenyl-",-1,"2-Propenamide, 3-phenyl-N-2-propenyl-","2-Propenamide, 3-phenyl-N-2-propenyl-",Down,-1,,TRUE,TRUE
2-Pyrrolidinone,2-Pyrrolidinone,1,2-Pyrrolidinone,2-Pyrrolidinone,Up,1,,TRUE,TRUE
"2,2-Diallylpyrrolidine","2,2-Diallylpyrrolidine",-1,"2,2-Diallylpyrrolidine","2,2-Diallylpyrrolidine",Down,-1,,TRUE,TRUE
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate","2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",-1,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate","2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Down,-1,,TRUE,TRUE
"2,2,8,8-Tetramethyl-3,7-dioxa-4-aza-2,8-disilanon-4-ene","2,2,8,8-Tetramethyl-3,7-dioxa-4-aza-2,8-disilanon-4-ene",-1,"2,2,8,8-Tetramethyl-3,7-dioxa-4-aza-2,8-disilanon-4-ene","2,2,8,8-Tetramethyl-3,7-dioxa-4-aza-2,8-disilanon-4-ene",Down,-1,,TRUE,TRUE
"2,3-Butanediol","2,3-Butanediol",-1,"2,3-Butanediol","2,3-Butanediol",Down,-1,,TRUE,TRUE
"2,3,4-Trihydroxybutyric acid tetrakis","2,3,4-Trihydroxybutyric acid tetrakis",-1,"2,3,4-Trihydroxybutyric acid tetrakis","2,3,4-Trihydroxybutyric acid tetrakis",Down,-1,,TRUE,TRUE
"2,4-Imidazolidinedione, 5,5-dimethyl-","2,4-Imidazolidinedione, 5,5-dimethyl-",-1,"2,4-Imidazolidinedione, 5,5-dimethyl-","2,4-Imidazolidinedione, 5,5-dimethyl-",Down,-1,,TRUE,TRUE
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-","2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",1,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-","2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",Up,1,,TRUE,TRUE
"2,5-di-tert-Butyl-1,4-benzoquinone","2,5-di-tert-Butyl-1,4-benzoquinone",1,"2,5-di-tert-Butyl-1,4-benzoquinone","2,5-di-tert-Butyl-1,4-benzoquinone",Up,1,,TRUE,TRUE
"2,5-Di-tert-butylhydroquinone","2,5-Di-tert-butylhydroquinone",1,"2,5-Di-tert-butylhydroquinone","2,5-Di-tert-butylhydroquinone",Up,1,,TRUE,TRUE
"2,5-Dimethoxy-4-methylamphetamine","2,5-Dimethoxy-4-methylamphetamine",-1,"2,5-Dimethoxy-4-methylamphetamine","2,5-Dimethoxy-4-methylamphetamine",Down,-1,,TRUE,TRUE
"2,5-Dimethoxybenzonitrile","2,5-Dimethoxybenzonitrile",-1,"2,5-Dimethoxybenzonitrile","2,5-Dimethoxybenzonitrile",Down,-1,,TRUE,TRUE
"2,5-Dimethoxymandelic acid","2,5-Dimethoxymandelic acid",1,"2,5-Dimethoxymandelic acid","2,5-Dimethoxymandelic acid",Up,1,,TRUE,TRUE
"2,5-Dimethoxyphenol","2,5-Dimethoxyphenol",-1,"2,5-Dimethoxyphenol","2,5-Dimethoxyphenol",Down,-1,,TRUE,TRUE
"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane","2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane",1,"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane","2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane",Up,1,,TRUE,TRUE
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-","2,5-Piperazinedione, 3-benzyl-6-isopropyl-",-1,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-","2,5-Piperazinedione, 3-benzyl-6-isopropyl-",Down,-1,,TRUE,TRUE
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine","2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",-1,"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine","2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",Down,-1,,TRUE,TRUE
